study ID,flare times,GOES class,hpc x,hpc y,EIS xcen,EIS ycen,EIS fovx,EIS fovy,target,stud_acr,filename,EIS xmin,EIS xmax,EIS ymin,EIS ymax
37,2012-01-18 10:20:13,C2.4,-569.5090935095213,385.5070704606222,-588.1160278320312,393.6029968261719,239.61599731445312,240.0,Active Region,HH_AR+FLR_RAS_N03,eis_20120118_102013.data.h5,-707.9240264892578,-468.3080291748047,273.6029968261719,513.6029968261719
461,2012-01-20 15:03:34,B9.1,-137.60325057897717,390.59400028124736,-136.6479949951172,408.9750061035156,179.71200561523438,152.0,Flare,HH_Flare+AR_180x152,eis_20120120_150334.data.h5,-226.50399780273438,-46.7919921875,332.9750061035156,484.9750061035156
461,2012-01-24 17:00:31,C1.3,537.8766410602332,582.0454761330269,563.8499755859375,531.1950073242188,179.71200561523438,152.0,Flare,HH_Flare+AR_180x152,eis_20120124_170031.data.h5,473.9939727783203,653.7059783935547,455.19500732421875,607.1950073242188
37,2012-01-26 10:08:42,C2.7,749.8769439627692,557.4171070658442,762.6740112304688,507.2489929199219,239.61599731445312,240.0,Active Region,HH_AR+FLR_RAS_N03,eis_20120126_100842.data.h5,642.8660125732422,882.4820098876953,387.2489929199219,627.2489929199219
37,2012-01-27 06:15:41,C5.5,800.2344847077682,546.5262639470207,793.8820190429688,501.4549865722656,239.61599731445312,240.0,Active Region,HH_AR+FLR_RAS_N03,eis_20120127_061541.data.h5,674.0740203857422,913.6900177001953,381.4549865722656,621.4549865722656
37,2012-01-27 18:16:11,X1.7,828.3462423520721,549.4731139244668,793.958984375,501.4549865722656,239.61599731445312,240.0,Active Region,HH_AR+FLR_RAS_N03,eis_20120127_181611.data.h5,674.1509857177734,913.7669830322266,381.4549865722656,621.4549865722656
461,2012-02-07 16:14:34,C6.8,862.1026673139469,371.7539574832693,902.0440063476562,347.31201171875,179.71200561523438,152.0,Flare,HH_Flare+AR_180x152,eis_20120207_161434.data.h5,812.1880035400391,991.9000091552734,271.31201171875,423.31201171875
475,2012-03-06 12:37:10,C1.6,-653.5732554944698,244.5947865488659,-682.7230224609375,365.1900024414063,266.0,304.0,Flare,Flare266_Hunter01,eis_20120306_123710.data.h5,-815.7230224609375,-549.7230224609375,213.1900024414063,517.1900024414062
471,2012-03-21 10:47:56,B7.0,922.3010012007088,-377.1011745108142,848.406005859375,-304.3919982910156,359.42401123046875,512.0,Active Region,HPW021_VEL_360x512v1,eis_20120321_104756.data.h5,668.6940002441406,1028.1180114746094,-560.3919982910156,-48.391998291015625
471,2012-03-21 10:47:56,C3.9,798.061201467492,-304.26162219117924,848.406005859375,-304.3919982910156,359.42401123046875,512.0,Active Region,HPW021_VEL_360x512v1,eis_20120321_104756.data.h5,668.6940002441406,1028.1180114746094,-560.3919982910156,-48.391998291015625
471,2012-03-24 19:54:13,B3.6,-830.9153485661373,-327.5221770579562,-844.552978515625,-342.6300048828125,359.42401123046875,512.0,Active Region,HPW021_VEL_360x512v1,eis_20120324_195413.data.h5,-1024.2649841308594,-664.8409729003906,-598.6300048828125,-86.6300048828125
471,2012-03-24 19:54:13,C3.5,-724.6607418975327,-387.29183350587,-844.552978515625,-342.6300048828125,359.42401123046875,512.0,Active Region,HPW021_VEL_360x512v1,eis_20120324_195413.data.h5,-1024.2649841308594,-664.8409729003906,-598.6300048828125,-86.6300048828125
390,2012-04-03 21:31:08,B4.3,-302.3187588395085,420.57577949914986,-308.54901123046875,375.3869934082031,179.71200561523438,160.0,Flare,HH_Flare_180x160_v2,eis_20120403_213108.data.h5,-398.40501403808594,-218.69300842285156,295.3869934082031,455.3869934082031
461,2012-04-08 15:28:41,B7.2,600.3625855617142,403.8014016899964,624.875,349.20001220703125,179.71200561523438,152.0,Flare,HH_Flare+AR_180x152,eis_20120408_152841.data.h5,535.0189971923828,714.7310028076172,273.20001220703125,425.20001220703125
461,2012-04-08 18:45:19,B6.8,615.8097841477701,398.34372060946737,645.5009765625,346.9599914550781,179.71200561523438,152.0,Flare,HH_Flare+AR_180x152,eis_20120408_184519.data.h5,555.6449737548828,735.3569793701172,270.9599914550781,422.9599914550781
461,2012-04-08 23:35:02,B4.1,642.2552368777132,390.4131634437144,674.85498046875,343.4840087890625,179.71200561523438,152.0,Flare,HH_Flare+AR_180x152,eis_20120408_233502.data.h5,584.9989776611328,764.7109832763672,267.4840087890625,419.4840087890625
377,2012-04-10 11:05:15,B2.1,752.0177707432091,351.78924518699387,843.7059936523438,314.7479858398437,323.48199462890625,376.0,Active Region,cam_ar_limb_lite_v2,eis_20120410_110515.data.h5,681.9649963378906,1005.4469909667969,126.7479858398437,502.7479858398437
437,2012-04-22 19:00:13,C1.9,376.57610066051,-177.0481909599317,314.239990234375,-95.88580322265624,239.61599731445312,512.0,Active Region,HPW021_VEL_240x512v1,eis_20120422_190013.data.h5,194.43199157714844,434.04798889160156,-351.88580322265625,160.11419677734375
477,2012-04-27 20:24:55,C1.6,932.1327247132224,-235.38992698210643,949.4949951171876,-300.38299560546875,163.73800659179688,376.0,Active Region,cam_ar_limb_lite_v3,eis_20120427_202455.data.h5,867.6259918212892,1031.363998413086,-488.38299560546875,-112.38299560546875
477,2012-04-28 01:20:13,C1.4,930.3293316908582,-236.58670884708715,999.416015625,-300.3059997558594,163.73800659179688,376.0,Active Region,cam_ar_limb_lite_v3,eis_20120428_012013.data.h5,917.5470123291016,1081.2850189208984,-488.3059997558594,-112.30599975585938
480,2012-05-07 14:14:10,M1.9,671.118213787183,-292.82605258196526,528.6959838867188,-335.3680114746094,479.2319946289063,512.0,Active Region,HPW022_VEL_480x512v1,eis_20120507_141410.data.h5,289.0799865722656,768.3119812011719,-591.3680114746094,-79.36801147460938
475,2012-05-09 11:29:22,B9.4,-504.3890942763537,251.29373414996303,-598.2139892578125,213.5529937744141,266.0,304.0,Flare,Flare266_Hunter01,eis_20120509_112922.data.h5,-731.2139892578125,-465.2139892578125,61.55299377441409,365.55299377441406
475,2012-05-09 20:07:32,C9.1,-491.1284689314198,275.2675843138602,-528.7680053710938,215.09800720214844,266.0,304.0,Flare,Flare266_Hunter01,eis_20120509_200732.data.h5,-661.7680053710938,-395.76800537109375,63.09800720214844,367.09800720214844
480,2012-05-10 09:36:20,C1.0,-249.97961019724607,235.68195495172185,-282.40399169921875,216.72000122070312,479.2319946289063,512.0,Active Region,HPW022_VEL_480x512v1,eis_20120510_093620.data.h5,-522.0199890136719,-42.7879943847656,-39.279998779296875,472.7200012207031
475,2012-05-11 03:37:46,C3.1,-201.2650499367155,279.9724414840029,-255.54299926757807,217.33799743652344,266.0,304.0,Flare,Flare266_Hunter01,eis_20120511_033746.data.h5,-388.54299926757807,-122.54299926757807,65.33799743652344,369.33799743652344
437,2012-05-14 07:09:51,C4.1,577.3386192833331,181.2856212353672,566.219970703125,170.3719940185547,239.61599731445312,512.0,Active Region,HPW021_VEL_240x512v1,eis_20120514_070951.data.h5,446.41197204589844,686.0279693603516,-85.62800598144531,426.3719940185547
480,2012-05-14 10:26:51,B8.2,596.6178485327932,213.046283418696,591.9609985351562,155.38600158691406,479.2319946289063,512.0,Active Region,HPW022_VEL_480x512v1,eis_20120514_102651.data.h5,352.3450012207031,831.5769958496094,-100.61399841308594,411.38600158691406
437,2012-05-16 23:42:25,M5.1,936.0623414914094,124.01229608202355,899.5819702148438,124.48699951171876,239.61599731445312,512.0,Active Region,HPW021_VEL_240x512v1,eis_20120516_234225.data.h5,779.7739715576172,1019.3899688720703,-131.51300048828125,380.48699951171875
437,2012-05-22 02:16:56,B4.8,470.8935422138151,209.5910220060844,459.1549987792969,155.69500732421875,239.61599731445312,512.0,Active Region,HPW021_VEL_240x512v1,eis_20120522_021656.data.h5,339.3470001220703,578.9629974365234,-100.30499267578125,411.69500732421875
420,2012-06-09 23:39:17,B8.6,491.5803153449079,262.5490674426641,540.4019775390625,209.76800537109372,119.80799865722656,512.0,Active Region,HPW021_VEL_120x512v1,eis_20120609_233917.data.h5,480.4979782104492,600.3059768676758,-46.23199462890628,465.76800537109375
480,2012-06-10 01:02:09,C1.0,472.9917536086598,268.5944138874128,549.552001953125,209.84500122070312,479.2319946289063,512.0,Active Region,HPW022_VEL_480x512v1,eis_20120610_010209.data.h5,309.9360046386719,789.1679992675781,-46.154998779296875,465.8450012207031
404,2012-06-13 11:05:35,M1.2,-323.55629584146664,-315.19855651292136,-345.7699890136719,-333.7460021972656,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20120613_110535.data.h5,-405.67398834228516,-285.8659896850586,-413.7460021972656,-253.74600219726562
485,2012-06-20 11:21:05,C1.5,843.3796862679077,-320.4836642426863,831.6799926757812,-325.32598876953125,161.74099731445312,152.0,Flare,HH_Flare_162x152,eis_20120620_112105.data.h5,750.8094940185547,912.5504913330078,-401.32598876953125,-249.32598876953125
485,2012-06-21 18:39:59,B7.0,922.3010012007088,-377.1011745108142,886.06201171875,-317.6789855957031,161.74099731445312,152.0,Flare,HH_Flare_162x152,eis_20120621_183959.data.h5,805.1915130615234,966.9325103759766,-393.6789855957031,-241.67898559570312
420,2012-06-27 18:24:57,B8.5,-220.65923273796216,-296.9990160625535,-267.6080017089844,-340.8529968261719,119.80799865722656,512.0,Active Region,HPW021_VEL_120x512v1,eis_20120627_182457.data.h5,-327.51200103759766,-207.7040023803711,-596.8529968261719,-84.85299682617188
420,2012-06-28 00:44:27,C1.0,-161.84796752384864,-296.539772218133,-215.46600341796875,-341.85699462890625,119.80799865722656,512.0,Active Region,HPW021_VEL_120x512v1,eis_20120628_004427.data.h5,-275.37000274658203,-155.56200408935547,-597.8569946289062,-85.85699462890625
480,2012-06-28 03:59:39,C4.2,-137.28086821362376,-312.20173063297807,-187.69900512695312,-352.6719970703125,479.2319946289063,512.0,Active Region,HPW022_VEL_480x512v1,eis_20120628_035939.data.h5,-427.31500244140625,51.91699218750003,-608.6719970703125,-96.6719970703125
480,2012-06-29 16:12:13,C1.0,-697.1779823061079,189.03416248606143,-565.052978515625,179.9499969482422,479.2319946289063,512.0,Active Region,HPW022_VEL_480x512v1,eis_20120629_161213.data.h5,-804.6689758300781,-325.4369812011719,-76.05000305175781,435.9499969482422
428,2012-06-29 22:50:52,C1.8,-493.5575138772838,265.959268088305,-517.7360229492188,177.94200134277344,119.80799865722656,512.0,Active Region,HPW021_VEL_120x512v2,eis_20120629_225052.data.h5,-577.640022277832,-457.83202362060547,-78.05799865722656,433.94200134277344
480,2012-07-04 21:36:51,M4.6,431.6773045289552,-317.19826896927657,333.9330139160156,-347.9289855957031,479.2319946289063,512.0,Active Region,HPW022_VEL_480x512v1,eis_20120704_213651.data.h5,94.31701660156247,573.5490112304688,-603.9289855957031,-91.92898559570312
480,2012-07-04 21:36:51,C7.4,377.6143586683164,-339.2727606942306,333.9330139160156,-347.9289855957031,479.2319946289063,512.0,Active Region,HPW022_VEL_480x512v1,eis_20120704_213651.data.h5,94.31701660156247,573.5490112304688,-603.9289855957031,-91.92898559570312
373,2012-07-05 15:30:34,C6.2,508.1423565384944,-328.31329529031024,459.927001953125,-374.37799072265625,257.5870056152344,256.0,Active Region,VHH_SlowAR_2h20_DPCM,eis_20120705_153034.data.h5,331.1334991455078,588.7205047607422,-502.37799072265625,-246.37799072265625
461,2012-07-07 13:11:17,C3.9,798.061201467492,-304.26162219117924,733.6400146484375,-360.24200439453125,179.71200561523438,152.0,Flare,HH_Flare+AR_180x152,eis_20120707_131117.data.h5,643.7840118408203,823.4960174560547,-436.24200439453125,-284.24200439453125
461,2012-07-07 10:33:26,C6.4,784.3356555685864,-310.8112651741751,721.1259765625,-361.2460021972656,179.71200561523438,152.0,Flare,HH_Flare+AR_180x152,eis_20120707_103326.data.h5,631.2699737548828,810.9819793701172,-437.2460021972656,-285.2460021972656
461,2012-07-08 06:16:32,C6.8,847.027563356598,-300.7871865996012,803.39501953125,-352.6719970703125,179.71200561523438,152.0,Flare,HH_Flare+AR_180x152,eis_20120708_061632.data.h5,713.5390167236328,893.2510223388672,-428.6719970703125,-276.6719970703125
420,2012-07-11 15:47:13,C1.9,-218.41795497504063,-378.13277958973606,-195.53599548339844,-384.7300109863281,119.80799865722656,512.0,Active Region,HPW021_VEL_120x512v1,eis_20120711_154713.data.h5,-255.43999481201172,-135.63199615478516,-640.7300109863281,-128.73001098632812
480,2012-07-11 20:38:13,C5.6,-211.2360809801612,-385.9510791468934,-154.79100036621094,-385.5790100097656,479.2319946289063,512.0,Active Region,HPW022_VEL_480x512v1,eis_20120711_203813.data.h5,-394.40699768066406,84.82499694824222,-641.5790100097656,-129.57901000976562
461,2012-07-14 04:59:37,M1.0,293.04463699942136,-316.33726385239567,312.177001953125,-385.8110046386719,179.71200561523438,152.0,Flare,HH_Flare+AR_180x152,eis_20120714_045937.data.h5,222.3209991455078,402.0330047607422,-461.8110046386719,-309.8110046386719
428,2012-07-14 10:46:28,C3.2,413.1589825015579,-269.2294429589075,359.1789855957031,-384.5750122070313,119.80799865722656,512.0,Active Region,HPW021_VEL_120x512v2,eis_20120714_104628.data.h5,299.27498626708984,419.0829849243164,-640.5750122070312,-128.5750122070313
447,2012-07-27 13:51:41,C1.5,-538.5752311984543,-390.95858855269614,-548.6259765625,-372.4219970703125,302.5150146484375,384.0,Active Region,GDZ_300x384_S2S3_35,eis_20120727_135141.data.h5,-699.8834838867188,-397.36846923828125,-564.4219970703125,-180.4219970703125
447,2012-07-27 20:24:19,C2.1,-497.6698437456507,-399.5662265789923,-496.2860107421875,-375.7439880371094,302.5150146484375,384.0,Active Region,GDZ_300x384_S2S3_35,eis_20120727_202419.data.h5,-647.5435180664062,-345.02850341796875,-567.7439880371094,-183.74398803710938
494,2012-08-04 06:08:09,C1.3,-166.08443168690428,223.23187072722047,-132.56500244140625,-0.4227479994297027,266.0,512.0,Quiet Sun,XRT_synop_AIA,eis_20120804_060809.data.h5,-265.56500244140625,0.43499755859375,-256.4227479994297,255.5772520005703
485,2012-08-05 02:19:38,C1.8,628.103584933708,-417.64006536734007,622.802001953125,-428.2200012207031,161.74099731445312,152.0,Flare,HH_Flare_162x152,eis_20120805_021938.data.h5,541.9315032958984,703.6725006103516,-504.2200012207031,-352.2200012207031
485,2012-08-07 13:29:48,C4.1,-845.6910406516399,-264.53066931109635,-886.8240966796875,-293.75616455078125,161.74099731445312,152.0,Flare,HH_Flare_162x152,eis_20120807_132948.data.h5,-967.6945953369141,-805.9535980224609,-369.75616455078125,-217.75616455078125
485,2012-08-07 23:20:27,C1.1,-831.1060557633173,-240.105320510638,-865.2960205078125,-302.92401123046875,161.74099731445312,152.0,Flare,HH_Flare_162x152,eis_20120807_232027.data.h5,-946.1665191650391,-784.4255218505859,-378.92401123046875,-226.92401123046875
