EIS flare times,EIS filename,Start Time,Peak Time,End Time,Class,hpc x,hpc y,study_durations
2021-01-19 18:57:43,eis_l0_20210119_185743.fits.gz,2021-01-19 19:13:00.000,2021-01-19 19:19:00.000,2021-01-19 19:24:00.000,B1.3,0.0,85.667616,3690.0
2021-01-20 06:10:04,eis_l0_20210120_061004.fits.gz,2021-01-20 06:08:00.000,2021-01-20 06:13:00.000,2021-01-20 06:21:00.000,B1.8,0.0,86.3814,12.465
2021-01-20 19:32:12,eis_l0_20210120_193212.fits.gz,2021-01-20 19:27:00.000,2021-01-20 19:36:00.000,2021-01-20 19:44:00.000,B1.1,0.0,87.244164,3690.0
2021-01-21 12:21:02,eis_l0_20210121_122102.fits.gz,2021-01-21 12:34:00.000,2021-01-21 12:47:00.000,2021-01-21 12:50:00.000,B1.3,0.0,88.340178,3824.95
2021-01-25 07:19:45,eis_l0_20210125_071945.fits.gz,2021-01-25 08:08:00.000,2021-01-25 08:19:00.000,2021-01-25 08:26:00.000,B2.2,0.0,93.948552,3897.897
2021-01-26 22:59:43,eis_l0_20210126_225943.fits.gz,2021-01-26 23:00:00.000,2021-01-26 23:08:00.000,2021-01-26 23:16:00.000,B1.3,0.0,96.195,3600.0
2021-02-18 12:22:52,eis_l0_20210218_122252.fits.gz,2021-02-18 13:25:00.000,2021-02-18 13:29:00.000,2021-02-18 13:37:00.000,B1.0,0.0,118.28466,3824.95
2021-02-19 08:45:30,eis_l0_20210219_084530.fits.gz,2021-02-19 08:53:00.000,2021-02-19 09:01:00.000,2021-02-19 09:08:00.000,B1.8,0.0,118.734876,3824.95
2021-02-22 20:21:23,eis_l0_20210222_202123.fits.gz,2021-02-22 21:19:00.000,2021-02-22 21:29:00.000,2021-02-22 21:36:00.000,B5.4,48.1689864,428.113314,3897.897
2021-02-24 17:58:41,eis_l0_20210224_175841.fits.gz,2021-02-24 17:54:00.000,2021-02-24 18:01:00.000,2021-02-24 18:08:00.000,B2.3,0.0,121.089036,12.465
2021-02-27 17:21:18,eis_l0_20210227_172118.fits.gz,2021-02-27 17:22:00.000,2021-02-27 17:31:00.000,2021-02-27 17:35:00.000,B1.5,0.0,121.91922,250.0
2021-02-27 14:49:18,eis_l0_20210227_144918.fits.gz,2021-02-27 15:13:00.000,2021-02-27 15:22:00.000,2021-02-27 15:28:00.000,B1.9,0.0,121.899186,1906.273
2021-02-28 06:28:31,eis_l0_20210228_062831.fits.gz,2021-02-28 06:40:00.000,2021-02-28 06:46:00.000,2021-02-28 06:51:00.000,C3.9,838.65384,373.653324,1906.273
2021-03-01 00:14:42,eis_l0_20210301_001442.fits.gz,2021-03-01 00:11:00.000,2021-03-01 00:15:00.000,2021-03-01 00:19:00.000,B1.1,0.0,122.172702,3897.897
2021-03-01 02:38:02,eis_l0_20210301_023802.fits.gz,2021-03-01 02:37:00.000,2021-03-01 02:46:00.000,2021-03-01 02:51:00.000,B1.7,0.0,122.190036,820.0
2021-03-01 06:42:11,eis_l0_20210301_064211.fits.gz,2021-03-01 06:39:00.000,2021-03-01 06:43:00.000,2021-03-01 06:47:00.000,B1.9,0.0,122.217906,91.86
