EIS flare times,EIS filename,Start Time,Peak Time,End Time,Class,hpc x,hpc y,study_durations
2016-01-05 14:31:15,eis_l0_20160105_143115.fits.gz,2016-01-05 16:32:00.000,2016-01-05 16:48:00.000,2016-01-05 16:59:00.000,B3.8,0.0,59.5291356,7380.0
2016-01-06 00:02:27,eis_l0_20160106_000227.fits.gz,2016-01-06 00:14:00.000,2016-01-06 00:25:00.000,2016-01-06 00:37:00.000,B4.4,0.0,60.14664,17428.782
2016-01-07 00:02:26,eis_l0_20160107_000226.fits.gz,2016-01-07 01:45:00.000,2016-01-07 01:48:00.000,2016-01-07 01:51:00.000,B6.0,0.0,62.178642,17428.782
2016-01-07 23:08:56,eis_l0_20160107_230856.fits.gz,2016-01-08 00:04:00.000,2016-01-08 00:21:00.000,2016-01-08 00:28:00.000,B4.2,0.0,63.937326,7795.793
2016-01-08 10:10:02,eis_l0_20160108_101002.fits.gz,2016-01-08 11:23:00.000,2016-01-08 11:31:00.000,2016-01-08 11:41:00.000,B8.6,51.2076408,115.808478,7795.793
2016-01-12 19:38:26,eis_l0_20160112_193826.fits.gz,2016-01-12 19:19:00.000,2016-01-12 19:31:00.000,2016-01-12 19:54:00.000,B3.3,0.0,72.724584,3897.897
2016-01-13 06:42:33,eis_l0_20160113_064233.fits.gz,2016-01-13 07:05:00.000,2016-01-13 07:25:00.000,2016-01-13 07:43:00.000,B3.9,0.0,73.592178,3897.897
2016-01-13 15:12:39,eis_l0_20160113_151239.fits.gz,2016-01-13 14:57:00.000,2016-01-13 15:05:00.000,2016-01-13 15:13:00.000,B2.4,0.0,74.169,3897.897
2016-01-15 14:45:40,eis_l0_20160115_144540.fits.gz,2016-01-15 15:18:00.000,2016-01-15 15:25:00.000,2016-01-15 15:31:00.000,C1.7,732.51222,169.280292,3897.897
2016-01-15 21:24:13,eis_l0_20160115_212413.fits.gz,2016-01-15 21:59:00.000,2016-01-15 22:03:00.000,2016-01-15 22:05:00.000,C1.1,0.0,78.130368,3897.897
2016-01-16 02:05:26,eis_l0_20160116_020526.fits.gz,2016-01-16 03:32:00.000,2016-01-16 03:36:00.000,2016-01-16 03:39:00.000,B8.7,0.0,78.522516,12347.513
2016-01-16 06:48:33,eis_l0_20160116_064833.fits.gz,2016-01-16 06:40:00.000,2016-01-16 06:57:00.000,2016-01-16 07:05:00.000,B6.0,0.0,78.743298,3897.897
2016-01-16 12:45:09,eis_l0_20160116_124509.fits.gz,2016-01-16 13:20:00.000,2016-01-16 13:24:00.000,2016-01-16 13:27:00.000,B3.5,0.0,79.211586,7795.793
2016-01-19 10:30:55,eis_l0_20160119_103055.fits.gz,2016-01-19 10:33:00.000,2016-01-19 10:36:00.000,2016-01-19 10:41:00.000,B4.1,0.0,83.952966,2500.0
2016-01-19 20:39:03,eis_l0_20160119_203903.fits.gz,2016-01-19 20:47:00.000,2016-01-19 21:12:00.000,2016-01-19 21:44:00.000,B5.5,0.0,84.634812,3897.897
2016-01-20 08:27:52,eis_l0_20160120_082752.fits.gz,2016-01-20 08:45:00.000,2016-01-20 08:49:00.000,2016-01-20 09:00:00.000,B5.2,0.0,85.425732,3674.391
2016-01-21 12:36:26,eis_l0_20160121_123626.fits.gz,2016-01-21 13:22:00.000,2016-01-21 13:51:00.000,2016-01-21 14:19:00.000,C1.4,0.0,87.288708,3897.897
2016-01-26 18:10:47,eis_l0_20160126_181047.fits.gz,2016-01-26 17:04:00.000,2016-01-26 17:15:00.000,2016-01-26 18:40:00.000,C1.3,0.0,94.86255,12.465
2016-01-27 18:42:32,eis_l0_20160127_184232.fits.gz,2016-01-27 19:22:00.000,2016-01-27 19:27:00.000,2016-01-27 19:33:00.000,B5.3,-570.293028,-294.991428,3897.897
2016-01-28 02:30:26,eis_l0_20160128_023026.fits.gz,2016-01-28 03:18:00.000,2016-01-28 03:22:00.000,2016-01-28 03:25:00.000,B6.1,0.0,96.815562,3897.897
2016-01-29 16:40:25,eis_l0_20160129_164025.fits.gz,2016-01-29 16:33:00.000,2016-01-29 16:41:00.000,2016-01-29 16:49:00.000,C1.2,837.72792,232.159848,3897.897
2016-01-29 21:30:31,eis_l0_20160129_213031.fits.gz,2016-01-29 20:48:00.000,2016-01-29 21:46:00.000,2016-01-29 22:57:00.000,C2.0,0.0,99.096852,3897.897
2016-01-31 07:32:24,eis_l0_20160131_073224.fits.gz,2016-01-31 08:09:00.000,2016-01-31 08:13:00.000,2016-01-31 08:16:00.000,B5.3,0.0,100.964106,3897.897
2016-02-02 15:47:34,eis_l0_20160202_154734.fits.gz,2016-02-02 14:22:00.000,2016-02-02 14:52:00.000,2016-02-02 15:53:00.000,C1.2,0.0,103.68936,3897.897
2016-02-03 12:00:26,eis_l0_20160203_120026.fits.gz,2016-02-03 12:03:00.000,2016-02-03 12:23:00.000,2016-02-03 12:42:00.000,C1.0,0.0,104.731572,3897.897
2016-02-04 11:30:25,eis_l0_20160204_113025.fits.gz,2016-02-04 12:16:00.000,2016-02-04 12:21:00.000,2016-02-04 12:25:00.000,C2.4,0.0,105.862866,3897.897
2016-02-05 12:30:25,eis_l0_20160205_123025.fits.gz,2016-02-05 13:05:00.000,2016-02-05 13:11:00.000,2016-02-05 13:17:00.000,C1.1,0.0,106.986078,3897.897
2016-02-05 18:06:33,eis_l0_20160205_180633.fits.gz,2016-02-05 18:02:00.000,2016-02-05 18:07:00.000,2016-02-05 18:13:00.000,B7.7,0.0,107.20572,12.465
2016-02-05 19:06:31,eis_l0_20160205_190631.fits.gz,2016-02-05 19:00:00.000,2016-02-05 21:20:00.000,2016-02-05 23:49:00.000,C1.0,-135.90873,140.028594,3897.897
2016-02-06 04:33:37,eis_l0_20160206_043337.fits.gz,2016-02-06 03:56:00.000,2016-02-06 04:21:00.000,2016-02-06 04:39:00.000,B8.5,0.0,107.640582,3897.897
