Start Time,Peak Time,End Time,Class,hpc_x,hpc_y
2024-01-02 13:42:00.000,2024-01-02 13:45:00.000,2024-01-02 13:49:00.000,C1.2,931.5896172763336,-117.50077553771553
2024-01-04 01:08:00.000,2024-01-04 01:16:00.000,2024-01-04 01:22:00.000,M1.1,-598.5481069653761,95.6489970525658
2024-01-06 00:41:00.000,2024-01-06 00:52:00.000,2024-01-06 01:00:00.000,C1.7,-882.3408269621432,-318.37515607557884
2024-01-06 11:38:00.000,2024-01-06 11:44:00.000,2024-01-06 11:54:00.000,C2.5,298.67666161921534,404.8923743172038
2024-01-07 10:44:00.000,2024-01-07 10:51:00.000,2024-01-07 10:56:00.000,C2.9,-156.261249340605,221.76294346256807
2024-01-09 14:46:00.000,2024-01-09 14:54:00.000,2024-01-09 14:57:00.000,C1.9,826.6985479832475,352.0866353347556
2024-01-09 14:57:00.000,2024-01-09 15:03:00.000,2024-01-09 15:07:00.000,C1.9,838.6936257648516,349.0564163485664
2024-01-10 03:18:00.000,2024-01-10 03:25:00.000,2024-01-10 03:29:00.000,C9.6,856.1687597881864,374.1767461870243
2024-01-10 08:56:00.000,2024-01-10 09:03:00.000,2024-01-10 09:23:00.000,C3.5,569.6793101582048,244.06543357625785
2024-01-10 12:39:00.000,2024-01-10 12:55:00.000,2024-01-10 13:05:00.000,M1.4,-925.9173291968182,-341.6881893687792
2024-01-11 17:49:00.000,2024-01-11 17:52:00.000,2024-01-11 17:59:00.000,M1.5,787.0758576889807,202.21342485770884
2024-01-11 18:57:00.000,2024-01-11 19:04:00.000,2024-01-11 19:08:00.000,C3.3,-811.0980422361754,203.0926181240931
2024-01-11 12:44:00.000,2024-01-11 12:51:00.000,2024-01-11 12:55:00.000,M1.3,925.3769704296598,326.6994982567337
2024-01-11 15:59:00.000,2024-01-11 16:11:00.000,2024-01-11 16:18:00.000,C3.6,934.397884746141,326.0805631184366
2024-01-15 13:54:00.000,2024-01-15 14:05:00.000,2024-01-15 14:11:00.000,C2.8,-700.4060306432657,118.76598132992687
2024-01-20 08:35:00.000,2024-01-20 09:34:00.000,2024-01-20 10:32:00.000,C3.5,-284.26078117173165,-196.9739780575636
2024-01-21 01:57:00.000,2024-01-21 02:02:00.000,2024-01-21 02:11:00.000,C6.3,-486.7120507354848,482.8210189961714
2024-01-21 11:33:00.000,2024-01-21 11:37:00.000,2024-01-21 11:44:00.000,C2.5,-494.7677259987686,531.7401865601478
2024-01-21 17:25:00.000,2024-01-21 17:34:00.000,2024-01-21 17:45:00.000,C3.9,-388.2712320340797,470.5408868371696
2024-01-23 11:52:00.000,2024-01-23 12:01:00.000,2024-01-23 12:12:00.000,C2.6,606.1440783415266,-227.1429611306442
2024-01-25 06:20:00.000,2024-01-25 06:29:00.000,2024-01-25 06:45:00.000,C1.5,855.1998222663929,-239.5837638311638
2024-01-25 14:54:00.000,2024-01-25 15:08:00.000,2024-01-25 15:17:00.000,C5.1,433.35861970629657,471.15082923756506
2024-01-26 00:23:00.000,2024-01-26 00:33:00.000,2024-01-26 00:42:00.000,C9.0,903.1208785599372,-251.38240970242623
2024-01-31 12:05:00.000,2024-01-31 12:18:00.000,2024-01-31 12:29:00.000,C1.4,-539.0898744831793,185.77296372068363
2024-01-31 13:10:00.000,2024-01-31 13:22:00.000,2024-01-31 13:33:00.000,C1.7,-97.08063844311982,-177.1535687111575
2024-02-02 10:48:00.000,2024-02-02 10:57:00.000,2024-02-02 11:03:00.000,C5.6,-766.7438561336603,-266.64564153065953
2024-02-02 11:16:00.000,2024-02-02 11:35:00.000,2024-02-02 12:02:00.000,C6.5,-918.2163294909988,-369.4986345853689
2024-02-03 05:31:00.000,2024-02-03 05:54:00.000,2024-02-03 06:23:00.000,C7.7,-956.822181547992,-297.5643465444365
2024-02-03 11:22:00.000,2024-02-03 11:33:00.000,2024-02-03 11:44:00.000,C3.7,-942.2363075595348,-274.4167774591509
2024-02-04 11:40:00.000,2024-02-04 11:53:00.000,2024-02-04 12:08:00.000,M1.4,-930.2980928528124,-253.9698755239645
2024-02-05 06:10:00.000,2024-02-05 06:22:00.000,2024-02-05 06:26:00.000,M1.4,-887.3680634684861,-325.0059972631822
2024-02-05 10:53:00.000,2024-02-05 11:09:00.000,2024-02-05 11:17:00.000,C9.6,-877.9838562132791,-231.69205618911357
2024-02-05 12:59:00.000,2024-02-05 13:19:00.000,2024-02-05 13:32:00.000,C6.3,-881.5278389640152,-240.44114196763184
2024-02-07 03:04:00.000,2024-02-07 03:31:00.000,2024-02-07 04:11:00.000,M5.1,743.8128998217887,-592.0419541277003
2024-02-06 12:48:00.000,2024-02-06 12:58:00.000,2024-02-06 13:06:00.000,C9.4,700.4132473221574,-577.8232428622565
2024-02-06 15:47:00.000,2024-02-06 16:14:00.000,2024-02-06 16:26:00.000,C5.1,-839.9809315954335,-42.1914884611863
2024-02-08 12:41:00.000,2024-02-08 13:12:00.000,2024-02-08 13:37:00.000,M3.4,-443.1513917492703,-219.07903427822123
2024-02-12 05:43:00.000,2024-02-12 05:54:00.000,2024-02-12 06:10:00.000,C6.9,335.7167112088014,-177.62676648447862
2024-02-12 12:50:00.000,2024-02-12 13:08:00.000,2024-02-12 13:21:00.000,M1.1,443.9136606938577,-180.1634887222023
2024-02-12 20:35:00.000,2024-02-12 21:17:00.000,2024-02-12 21:51:00.000,M2.6,-874.9135605562478,472.8851729849666
2024-02-15 07:42:00.000,2024-02-15 08:11:00.000,2024-02-15 08:33:00.000,C5.1,-839.4058387754485,440.8117630414436
2024-02-16 16:15:00.000,2024-02-16 16:36:00.000,2024-02-16 16:56:00.000,C6.1,-717.5191212135833,540.1361862912831
2024-02-17 12:24:00.000,2024-02-17 12:36:00.000,2024-02-17 12:54:00.000,C2.9,-938.5382180742454,293.3316822393687
2024-02-18 02:30:00.000,2024-02-18 02:42:00.000,2024-02-18 02:50:00.000,C3.5,-927.82544030156,337.0291865979465
2024-02-20 16:56:00.000,2024-02-20 17:12:00.000,2024-02-20 17:30:00.000,C2.7,980.6627501182176,166.2458976512731
2024-02-21 01:55:00.000,2024-02-21 02:17:00.000,2024-02-21 02:42:00.000,C4.3,-748.8670179306064,-636.2228473293563
2024-02-21 10:22:00.000,2024-02-21 10:27:00.000,2024-02-21 10:32:00.000,C1.7,-675.5923044187948,385.6872690690523
2024-02-21 13:09:00.000,2024-02-21 13:15:00.000,2024-02-21 13:19:00.000,C1.4,-659.4493637538981,389.2545442888263
2024-02-23 09:43:00.000,2024-02-23 09:54:00.000,2024-02-23 10:09:00.000,C3.8,-339.1518007013947,424.4492288079092
