EIS flare times,EIS filename,Start Time,Peak Time,End Time,Class,hpc x,hpc y,study_durations
2014-01-01 15:41:11,eis_l0_20140101_154111.fits.gz,2014-01-01 15:40:00.000,2014-01-01 15:48:00.000,2014-01-01 16:09:00.000,C6.5,0.0,52.62114,162.0
2014-01-01 18:09:59,eis_l0_20140101_180959.fits.gz,2014-01-01 18:40:00.000,2014-01-01 18:52:00.000,2014-01-01 19:03:00.000,M9.9,694.242,-201.4002,3595.497
2014-01-02 06:42:41,eis_l0_20140102_064241.fits.gz,2014-01-02 07:43:00.000,2014-01-02 07:49:00.000,2014-01-02 07:51:00.000,C4.9,-943.728,-72.0096,3897.897
2014-01-03 03:04:08,eis_l0_20140103_030408.fits.gz,2014-01-03 03:56:00.000,2014-01-03 04:01:00.000,2014-01-03 04:07:00.000,C4.6,-841.932,-74.4276,3595.497
2014-01-03 14:55:04,eis_l0_20140103_145504.fits.gz,2014-01-03 15:05:00.000,2014-01-03 15:35:00.000,2014-01-03 16:05:00.000,C6.9,0.0,56.52264,3595.497
2014-01-04 15:31:03,eis_l0_20140104_153103.fits.gz,2014-01-04 15:33:00.000,2014-01-04 15:41:00.000,2014-01-04 15:47:00.000,C9.4,0.0,58.50834,162.0
2014-01-05 14:18:19,eis_l0_20140105_141819.fits.gz,2014-01-05 15:11:00.000,2014-01-05 15:18:00.000,2014-01-05 15:31:00.000,C6.6,0.0,60.408,3573.072
2014-01-08 07:39:38,eis_l0_20140108_073938.fits.gz,2014-01-08 07:27:00.000,2014-01-08 07:34:00.000,2014-01-08 07:42:00.000,C2.4,0.0,65.475,162.0
2014-01-08 09:57:27,eis_l0_20140108_095727.fits.gz,2014-01-08 10:25:00.000,2014-01-08 10:29:00.000,2014-01-08 10:36:00.000,C1.9,67.3074,-105.2058,7795.793
2014-01-08 12:01:32,eis_l0_20140108_120132.fits.gz,2014-01-08 11:56:00.000,2014-01-08 12:04:00.000,2014-01-08 12:17:00.000,C6.1,0.0,65.823,2007.897
2014-01-11 10:26:21,eis_l0_20140111_102621.fits.gz,2014-01-11 10:18:00.000,2014-01-11 10:24:00.000,2014-01-11 10:31:00.000,C2.1,0.0,71.1834,7795.793
2014-01-11 12:30:27,eis_l0_20140111_123027.fits.gz,2014-01-11 13:00:00.000,2014-01-11 13:10:00.000,2014-01-11 13:22:00.000,C6.5,0.0,71.385,2007.897
2014-01-12 01:58:11,eis_l0_20140112_015811.fits.gz,2014-01-12 01:58:00.000,2014-01-12 02:06:00.000,2014-01-12 02:18:00.000,C3.9,773.364,-92.6856,270.0
2014-01-12 21:59:42,eis_l0_20140112_215942.fits.gz,2014-01-12 21:51:00.000,2014-01-12 22:08:00.000,2014-01-12 22:30:00.000,C1.1,0.0,73.8162,270.0
2014-01-13 14:17:37,eis_l0_20140113_141737.fits.gz,2014-01-13 15:02:00.000,2014-01-13 15:09:00.000,2014-01-13 15:12:00.000,C1.1,0.0,75.0696,3573.072
2014-01-13 21:46:42,eis_l0_20140113_214642.fits.gz,2014-01-13 21:48:00.000,2014-01-13 21:51:00.000,2014-01-13 21:53:00.000,M1.3,185.5128,-45.40782,3595.497
2014-01-18 12:04:40,eis_l0_20140118_120440.fits.gz,2014-01-18 11:57:00.000,2014-01-18 12:04:00.000,2014-01-18 12:09:00.000,C6.0,0.0,83.2542,7677.897
2014-01-18 18:21:02,eis_l0_20140118_182102.fits.gz,2014-01-18 19:32:00.000,2014-01-18 19:42:00.000,2014-01-18 19:59:00.000,C2.3,-893.328,-351.9882,33262.052
2014-01-20 09:26:40,eis_l0_20140120_092640.fits.gz,2014-01-20 17:33:00.000,2014-01-20 18:00:00.000,2014-01-20 18:15:00.000,C1.3,0.0,86.7936,33262.052
2014-01-20 22:47:47,eis_l0_20140120_224747.fits.gz,2014-01-20 21:39:00.000,2014-01-20 22:49:00.000,2014-01-20 23:57:00.000,C3.6,-892.026,-84.8478,501.974
2014-01-21 13:18:24,eis_l0_20140121_131824.fits.gz,2014-01-21 13:29:00.000,2014-01-21 13:32:00.000,2014-01-21 13:34:00.000,B9.1,0.0,88.0746,3897.897
2014-01-21 18:30:12,eis_l0_20140121_183012.fits.gz,2014-01-21 22:30:00.000,2014-01-21 22:36:00.000,2014-01-21 22:42:00.000,C1.2,-557.7114,-349.1898,33262.052
2014-01-23 02:46:08,eis_l0_20140123_024608.fits.gz,2014-01-23 02:45:00.000,2014-01-23 02:54:00.000,2014-01-23 02:59:00.000,B8.4,0.0,90.4152,12.465
2014-01-26 06:30:54,eis_l0_20140126_063054.fits.gz,2014-01-26 05:18:00.000,2014-01-26 06:16:00.000,2014-01-26 06:41:00.000,C3.2,0.0,94.8834,12.465
2014-01-26 10:03:34,eis_l0_20140126_100334.fits.gz,2014-01-26 10:05:00.000,2014-01-26 10:13:00.000,2014-01-26 10:19:00.000,C6.1,0.0,95.16,7795.793
2014-01-27 10:33:35,eis_l0_20140127_103335.fits.gz,2014-01-27 11:08:00.000,2014-01-27 11:13:00.000,2014-01-27 11:19:00.000,C2.6,0.0,96.5886,7795.793
2014-01-28 11:03:34,eis_l0_20140128_110334.fits.gz,2014-01-28 11:34:00.000,2014-01-28 11:38:00.000,2014-01-28 11:41:00.000,M1.4,0.0,97.9494,7795.793
2014-01-30 16:14:06,eis_l0_20140130_161406.fits.gz,2014-01-30 15:48:00.000,2014-01-30 16:11:00.000,2014-01-30 16:28:00.000,M6.6,-806.37,-166.449,162.0
2014-01-31 14:10:19,eis_l0_20140131_141019.fits.gz,2014-01-31 15:32:00.000,2014-01-31 15:42:00.000,2014-01-31 15:53:00.000,M1.1,0.0,101.9676,12347.513
2014-02-01 05:50:40,eis_l0_20140201_055040.fits.gz,2014-02-01 05:42:00.000,2014-02-01 05:49:00.000,2014-02-01 06:00:00.000,C5.5,-390.2382,-93.4206,12.465
2014-02-01 13:26:37,eis_l0_20140201_132637.fits.gz,2014-02-01 13:52:00.000,2014-02-01 13:56:00.000,2014-02-01 14:03:00.000,C3.9,0.0,103.0866,3573.072
2014-02-01 16:13:35,eis_l0_20140201_161335.fits.gz,2014-02-01 15:58:00.000,2014-02-01 16:05:00.000,2014-02-01 16:14:00.000,C2.3,0.0,103.1898,162.0
2014-02-02 01:18:15,eis_l0_20140202_011815.fits.gz,2014-02-02 01:07:00.000,2014-02-02 01:18:00.000,2014-02-02 01:22:00.000,C6.5,-296.4432,282.1362,3595.497
2014-02-02 13:01:30,eis_l0_20140202_130130.fits.gz,2014-02-02 14:01:00.000,2014-02-02 14:06:00.000,2014-02-02 14:09:00.000,M1.3,0.0,104.2638,3573.072
2014-02-02 14:19:52,eis_l0_20140202_141952.fits.gz,2014-02-02 14:17:00.000,2014-02-02 14:21:00.000,2014-02-02 14:28:00.000,C7.8,0.0,104.2764,2007.897
2014-02-02 06:07:48,eis_l0_20140202_060748.fits.gz,2014-02-02 06:01:00.000,2014-02-02 06:07:00.000,2014-02-02 06:13:00.000,C7.5,0.0,103.8774,12.465
2014-02-02 21:07:04,eis_l0_20140202_210704.fits.gz,2014-02-02 21:24:00.000,2014-02-02 22:04:00.000,2014-02-02 22:14:00.000,M1.3,0.0,104.6166,3595.497
2014-02-02 08:12:43,eis_l0_20140202_081243.fits.gz,2014-02-02 07:17:00.000,2014-02-02 08:20:00.000,2014-02-02 08:29:00.000,M2.2,-232.8882,-69.4734,162.0
2014-02-02 10:25:27,eis_l0_20140202_102527.fits.gz,2014-02-02 11:45:00.000,2014-02-02 11:49:00.000,2014-02-02 11:55:00.000,C9.7,0.0,104.1546,7795.793
2014-02-03 06:29:11,eis_l0_20140203_062911.fits.gz,2014-02-03 06:19:00.000,2014-02-03 06:25:00.000,2014-02-03 06:33:00.000,C5.7,0.0,105.039,12.465
2014-02-03 09:31:34,eis_l0_20140203_093134.fits.gz,2014-02-03 10:58:00.000,2014-02-03 11:01:00.000,2014-02-03 11:04:00.000,C4.4,0.0,105.2574,7795.793
2014-02-03 12:07:36,eis_l0_20140203_120736.fits.gz,2014-02-03 12:43:00.000,2014-02-03 12:54:00.000,2014-02-03 13:05:00.000,C7.9,0.0,105.339,3573.072
2014-02-03 15:41:53,eis_l0_20140203_154153.fits.gz,2014-02-03 15:40:00.000,2014-02-03 15:44:00.000,2014-02-03 15:48:00.000,C4.6,0.0,105.4764,162.0
2014-02-03 19:18:20,eis_l0_20140203_191820.fits.gz,2014-02-03 19:28:00.000,2014-02-03 19:37:00.000,2014-02-03 19:48:00.000,C6.9,200.1114,-66.9516,3595.497
2014-02-04 12:48:37,eis_l0_20140204_124837.fits.gz,2014-02-04 13:35:00.000,2014-02-04 13:53:00.000,2014-02-04 14:10:00.000,C7.7,0.0,106.482,3573.072
2014-02-04 16:23:10,eis_l0_20140204_162310.fits.gz,2014-02-04 15:25:00.000,2014-02-04 16:02:00.000,2014-02-04 16:49:00.000,M1.5,198.7308,-100.0104,162.0
2014-02-04 18:46:19,eis_l0_20140204_184619.fits.gz,2014-02-04 18:36:00.000,2014-02-04 18:49:00.000,2014-02-04 18:54:00.000,C4.7,0.0,106.7082,3595.497
2014-02-05 09:56:05,eis_l0_20140205_095605.fits.gz,2014-02-05 09:21:00.000,2014-02-05 09:56:00.000,2014-02-05 10:05:00.000,C3.9,483.474,227.0802,162.0
2014-02-05 10:41:27,eis_l0_20140205_104127.fits.gz,2014-02-05 12:44:00.000,2014-02-05 12:50:00.000,2014-02-05 12:53:00.000,C5.2,0.0,107.5128,7795.793
2014-02-05 12:45:34,eis_l0_20140205_124534.fits.gz,2014-02-05 12:44:00.000,2014-02-05 12:50:00.000,2014-02-05 12:53:00.000,C5.2,0.0,107.5128,2007.897
2014-02-05 18:13:20,eis_l0_20140205_181320.fits.gz,2014-02-05 18:32:00.000,2014-02-05 18:44:00.000,2014-02-05 18:54:00.000,C8.6,0.0,107.766,3595.497
2014-02-06 09:37:25,eis_l0_20140206_093725.fits.gz,2014-02-06 11:45:00.000,2014-02-06 11:56:00.000,2014-02-06 11:59:00.000,C3.0,0.0,108.5058,17428.782
2014-02-06 22:21:48,eis_l0_20140206_222148.fits.gz,2014-02-06 22:09:00.000,2014-02-06 22:15:00.000,2014-02-06 22:24:00.000,C2.1,0.0,108.9438,3595.497
2014-02-07 10:07:26,eis_l0_20140207_100726.fits.gz,2014-02-07 10:02:00.000,2014-02-07 10:06:00.000,2014-02-07 10:09:00.000,C3.1,750.18,-238.3344,17428.782
2014-02-09 03:25:27,eis_l0_20140209_032527.fits.gz,2014-02-09 05:12:00.000,2014-02-09 05:17:00.000,2014-02-09 05:22:00.000,C2.4,580.1766,-166.344,7795.793
2014-02-09 15:29:41,eis_l0_20140209_152941.fits.gz,2014-02-09 15:40:00.000,2014-02-09 16:17:00.000,2014-02-09 16:52:00.000,M1.0,0.0,111.5502,3595.497
2014-02-09 22:23:41,eis_l0_20140209_222341.fits.gz,2014-02-09 23:14:00.000,2014-02-09 23:31:00.000,2014-02-09 23:45:00.000,C5.2,275.6958,-147.723,3595.497
2014-02-11 11:18:27,eis_l0_20140211_111827.fits.gz,2014-02-11 13:15:00.000,2014-02-11 13:57:00.000,2014-02-11 14:15:00.000,C8.4,0.0,113.205,7795.793
2014-02-11 13:22:33,eis_l0_20140211_132233.fits.gz,2014-02-11 13:15:00.000,2014-02-11 13:57:00.000,2014-02-11 14:15:00.000,C8.4,0.0,113.205,3897.897
2014-02-12 04:02:04,eis_l0_20140212_040204.fits.gz,2014-02-12 03:52:00.000,2014-02-12 04:25:00.000,2014-02-12 04:38:00.000,M3.7,33.3198,-90.3966,162.0
2014-02-12 12:06:21,eis_l0_20140212_120621.fits.gz,2014-02-12 12:29:00.000,2014-02-12 12:34:00.000,2014-02-12 12:39:00.000,C7.9,0.0,113.9982,7795.793
2014-02-13 01:01:11,eis_l0_20140213_010111.fits.gz,2014-02-13 00:35:00.000,2014-02-13 00:52:00.000,2014-02-13 01:06:00.000,C3.2,0.0,114.3978,639.825
2014-02-13 01:31:11,eis_l0_20140213_013111.fits.gz,2014-02-13 01:32:00.000,2014-02-13 01:40:00.000,2014-02-13 01:50:00.000,M1.8,0.0,114.4284,639.825
2014-02-13 02:37:11,eis_l0_20140213_023711.fits.gz,2014-02-13 02:41:00.000,2014-02-13 02:51:00.000,2014-02-13 03:04:00.000,M1.0,0.0,114.4662,639.825
2014-02-13 05:52:11,eis_l0_20140213_055211.fits.gz,2014-02-13 05:49:00.000,2014-02-13 06:07:00.000,2014-02-13 06:13:00.000,M1.7,0.0,114.5676,639.825
2014-02-13 07:29:11,eis_l0_20140213_072911.fits.gz,2014-02-13 07:04:00.000,2014-02-13 07:10:00.000,2014-02-13 07:30:00.000,C3.6,-749.724,-63.3414,639.825
2014-02-13 07:59:11,eis_l0_20140213_075911.fits.gz,2014-02-13 08:05:00.000,2014-02-13 08:12:00.000,2014-02-13 08:19:00.000,M1.0,214.6968,-92.2122,639.825
2014-02-13 10:34:11,eis_l0_20140213_103411.fits.gz,2014-02-13 10:29:00.000,2014-02-13 10:48:00.000,2014-02-13 10:53:00.000,C8.4,0.0,114.7176,7795.793
2014-02-13 12:46:20,eis_l0_20140213_124620.fits.gz,2014-02-13 12:33:00.000,2014-02-13 12:42:00.000,2014-02-13 13:16:00.000,C3.0,276.7662,-127.896,3595.497
