EIS flare times,EIS filename,Start Time,Peak Time,End Time,Class,hpc x,hpc y,study_durations
2013-01-04 08:50:32,eis_l0_20130104_085032.fits.gz,2013-01-04 08:22:00.000,2013-01-04 09:18:00.000,2013-01-04 10:34:00.000,C1.3,0.0,58.42644,3897.897
2013-01-04 13:00:26,eis_l0_20130104_130026.fits.gz,2013-01-04 13:03:00.000,2013-01-04 13:08:00.000,2013-01-04 13:15:00.000,C1.2,0.0,58.8042,7795.793
2013-01-05 00:34:25,eis_l0_20130105_003425.fits.gz,2013-01-04 23:46:00.000,2013-01-05 00:18:00.000,2013-01-05 01:19:00.000,C2.3,0.0,59.66604,270.0
2013-01-06 22:44:46,eis_l0_20130106_224446.fits.gz,2013-01-06 22:34:00.000,2013-01-06 22:41:00.000,2013-01-06 22:50:00.000,B9.1,0.0,63.384,270.0
2013-01-06 09:57:33,eis_l0_20130106_095733.fits.gz,2013-01-06 09:15:00.000,2013-01-06 09:50:00.000,2013-01-06 10:12:00.000,C1.9,0.0,62.334,7972.821
2013-01-06 12:26:33,eis_l0_20130106_122633.fits.gz,2013-01-06 12:44:00.000,2013-01-06 12:54:00.000,2013-01-06 13:01:00.000,C1.7,0.0,62.6094,7972.821
2013-01-07 09:47:19,eis_l0_20130107_094719.fits.gz,2013-01-07 09:47:00.000,2013-01-07 09:54:00.000,2013-01-07 10:00:00.000,C1.1,0.0,64.2636,270.0
2013-01-07 04:55:48,eis_l0_20130107_045548.fits.gz,2013-01-07 04:42:00.000,2013-01-07 04:52:00.000,2013-01-07 04:57:00.000,B8.0,0.0,63.8658,270.0
2013-01-08 14:18:20,eis_l0_20130108_141820.fits.gz,2013-01-08 14:17:00.000,2013-01-08 14:21:00.000,2013-01-08 14:29:00.000,C1.3,0.0,66.4788,270.0
2013-01-08 19:14:21,eis_l0_20130108_191421.fits.gz,2013-01-08 19:04:00.000,2013-01-08 19:12:00.000,2013-01-08 19:19:00.000,C4.0,0.0,66.8478,270.0
