Start Time,Peak Time,End Time,Class,hpc_x,hpc_y
2015-10-19 04:32:00.000,2015-10-19 04:40:00.000,2015-10-19 04:46:00.000,C1.4,-95.7128608499188,-237.936002743255
2015-10-27 20:10:00.000,2015-10-27 20:19:00.000,2015-10-27 20:28:00.000,C1.4,-968.3668350283988,117.69017112737365
2015-10-24 04:20:00.000,2015-10-24 04:28:00.000,2015-10-24 04:32:00.000,C1.9,861.0116612061897,-174.21929472080626
2015-10-22 02:13:00.000,2015-10-22 03:40:00.000,2015-10-22 05:15:00.000,C4.4,532.5562559591293,-256.8473012214366
2015-10-19 09:33:00.000,2015-10-19 09:37:00.000,2015-10-19 09:44:00.000,C1.2,-797.5930103710853,114.21309890382764
2015-10-19 21:48:00.000,2015-10-19 21:52:00.000,2015-10-19 21:57:00.000,B9.6,-728.5857231011614,112.24863872501952
2015-10-19 01:58:00.000,2015-10-19 02:06:00.000,2015-10-19 02:15:00.000,C1.7,-825.7849324669223,119.67971052605516
2015-10-28 05:53:00.000,2015-10-28 06:06:00.000,2015-10-28 06:23:00.000,C1.2,740.8414365372618,-338.8958081829612
2015-01-02 14:05:00.000,2015-01-02 14:08:00.000,2015-01-02 14:11:00.000,B9.7,-448.4981648912653,-47.54987351456137
2015-01-03 01:13:00.000,2015-01-03 01:17:00.000,2015-01-03 01:21:00.000,C1.7,-377.0640834099613,-38.7196746250051
2015-01-08 15:41:00.000,2015-01-08 15:48:00.000,2015-01-08 15:56:00.000,C2.6,-750.4833617703989,309.6277707443984
2015-01-09 05:46:00.000,2015-01-09 05:54:00.000,2015-01-09 05:59:00.000,C3.4,-848.4685542185325,-260.23883888960773
2015-01-09 08:04:00.000,2015-01-09 08:17:00.000,2015-01-09 08:34:00.000,C9.6,297.63666068577425,197.2910431730719
2015-01-10 11:14:00.000,2015-01-10 11:33:00.000,2015-01-10 11:54:00.000,C3.3,536.4274015503049,175.7144579291093
2015-01-13 19:32:00.000,2015-01-13 19:35:00.000,2015-01-13 19:39:00.000,C1.3,953.1263716854334,153.09155737673905
2015-01-19 10:07:00.000,2015-01-19 10:13:00.000,2015-01-19 10:15:00.000,C1.3,844.3673445673417,-260.7799952372095
2015-01-25 11:56:00.000,2015-01-25 12:12:00.000,2015-01-25 12:21:00.000,C1.4,-973.63178824028,-135.6700078222876
2015-01-29 09:53:00.000,2015-01-29 09:57:00.000,2015-01-29 10:02:00.000,C2.9,-894.888827859424,168.39766689168826
2015-01-29 12:21:00.000,2015-01-29 12:26:00.000,2015-01-29 12:30:00.000,C7.6,-932.6227955466602,198.493142132487
2015-01-29 16:49:00.000,2015-01-29 16:52:00.000,2015-01-29 16:56:00.000,C1.6,-917.6020049501676,206.25697797688463
2015-01-29 23:41:00.000,2015-01-29 23:47:00.000,2015-01-29 23:54:00.000,C8.4,-834.2718096482567,171.25291571881044
2015-01-30 12:10:00.000,2015-01-30 12:16:00.000,2015-01-30 12:21:00.000,M2.4,-769.4197997450829,188.4986149260752
2015-01-30 17:43:00.000,2015-01-30 18:06:00.000,2015-01-30 18:20:00.000,C2.0,447.52632546124914,-92.27360796597166
2015-01-31 11:53:00.000,2015-01-31 11:57:00.000,2015-01-31 12:00:00.000,C1.0,-543.7040598820895,220.36288259567507
2015-02-01 08:41:00.000,2015-02-01 08:46:00.000,2015-02-01 08:51:00.000,C1.8,926.8018868279424,-296.2932667626541
