study ID,flare times,GOES class,hpc x,hpc y,EIS xcen,EIS ycen,EIS fovx,EIS fovy,target,stud_acr,filename,EIS xmin,EIS xmax,EIS ymin,EIS ymax
518,2015-01-09 17:35:50,C1.8,391.27398856635176,206.06899300279017,374.1119995117188,171.50599670410156,59.90399932861328,152.0,Flare,HH_Flare_raster_v6,eis_20150109_173550.data.h5,344.15999984741217,404.06399917602545,95.50599670410156,247.50599670410156
377,2015-01-29 15:05:18,C1.6,-917.6020049501676,206.25697797688463,-1044.1708984375,191.60589599609372,323.48199462890625,376.0,Active Region,cam_ar_limb_lite_v2,eis_20150129_150518.data.h5,-1205.9118957519531,-882.4299011230469,3.6058959960937216,379.60589599609375
377,2015-01-29 15:05:18,B8.1,-927.2056521826888,240.49719115179025,-1044.1708984375,191.60589599609372,323.48199462890625,376.0,Active Region,cam_ar_limb_lite_v2,eis_20150129_150518.data.h5,-1205.9118957519531,-882.4299011230469,3.6058959960937216,379.60589599609375
420,2015-01-31 11:53:00,C2.0,539.5374611334611,93.71254253759376,492.7489929199219,-83.47239685058594,119.80799865722656,512.0,Active Region,HPW021_VEL_120x512v1,eis_20150131_115300.data.h5,432.8449935913086,552.6529922485352,-339.47239685058594,172.52760314941406
518,2015-02-10 04:14:41,C2.9,643.425920785843,-39.48340376473811,647.0349731445312,-38.68009948730469,59.90399932861328,152.0,Flare,HH_Flare_raster_v6,eis_20150210_041441.data.h5,617.0829734802246,676.9869728088379,-114.68009948730469,37.31990051269531
454,2015-02-12 01:52:19,C6.0,891.1816476351132,-75.48562347976001,843.7030029296875,-137.92999267578125,302.5150146484375,384.0,Active Region,GDZ_300x384_S2S3_40,eis_20150212_015219.data.h5,692.4454956054688,994.9605102539062,-329.92999267578125,54.07000732421875
420,2015-02-18 20:35:56,C1.1,835.5397434470597,289.47912688010604,816.3579711914062,163.4239959716797,119.80799865722656,512.0,Active Region,HPW021_VEL_120x512v1,eis_20150218_203556.data.h5,756.453971862793,876.2619705200195,-92.57600402832031,419.4239959716797
475,2015-03-10 14:23:09,C1.2,-546.4420934799127,-180.07013093142348,-678.760009765625,-199.47300720214844,266.0,304.0,Flare,Flare266_Hunter01,eis_20150310_142309.data.h5,-811.760009765625,-545.760009765625,-351.47300720214844,-47.47300720214844
520,2015-03-12 07:10:41,C2.7,-197.46799726993777,-148.39405102573454,-214.11199951171875,-101.86100006103516,119.80799865722656,512.0,Active Region,HPW021VEL120x512v1_b,eis_20150312_071041.data.h5,-274.01599884033203,-154.20800018310547,-357.86100006103516,154.13899993896484
475,2015-03-18 15:55:58,C3.5,846.4736637877803,-268.0303702953445,745.2780151367188,-247.37399291992188,266.0,304.0,Flare,Flare266_Hunter01,eis_20150318_155558.data.h5,612.2780151367188,878.2780151367188,-399.3739929199219,-95.37399291992188
520,2015-03-15 10:25:26,C1.3,403.7859762823464,-188.9547933121533,450.4630126953125,-175.2239990234375,119.80799865722656,512.0,Active Region,HPW021VEL120x512v1_b,eis_20150315_102526.data.h5,390.5590133666992,510.3670120239258,-431.2239990234375,80.7760009765625
520,2015-03-16 10:53:26,M1.6,582.0088687464569,-192.9812527956024,624.9650268554688,-191.5240020751953,119.80799865722656,512.0,Active Region,HPW021VEL120x512v1_b,eis_20150316_105326.data.h5,565.0610275268555,684.869026184082,-447.5240020751953,64.47599792480469
518,2015-04-09 20:20:47,B6.9,323.11509276036446,-150.88743656040864,329.56500244140625,-124.76499938964844,59.90399932861328,152.0,Flare,HH_Flare_raster_v6,eis_20150409_202047.data.h5,299.6130027770996,359.5170021057129,-200.76499938964844,-48.76499938964844
518,2015-04-09 23:33:53,C3.3,333.3124179019061,-152.7125679497841,356.4469909667969,-126.0009994506836,59.90399932861328,152.0,Flare,HH_Flare_raster_v6,eis_20150409_233353.data.h5,326.49499130249023,386.3989906311035,-202.0009994506836,-50.000999450683594
518,2015-04-10 19:21:45,C2.7,542.7877723748283,-137.012740174976,513.2589721679688,-135.5019989013672,59.90399932861328,152.0,Flare,HH_Flare_raster_v6,eis_20150410_192145.data.h5,483.3069725036621,543.2109718322754,-211.5019989013672,-59.50199890136719
428,2015-04-13 11:31:02,C2.3,893.1006429202193,-198.4633784787445,870.4349975585938,-200.3939971923828,119.80799865722656,512.0,Active Region,HPW021_VEL_120x512v2,eis_20150413_113102.data.h5,810.5309982299805,930.338996887207,-456.3939971923828,55.60600280761719
521,2015-05-03 14:02:26,B7.5,-656.0612195823342,-249.0523140033204,-648.1959838867188,-151.51499938964844,119.80799865722656,512.0,Active Region,HPW021VEL120x512v2_b,eis_20150503_140226.data.h5,-708.099983215332,-588.2919845581055,-407.51499938964844,104.48500061035156
521,2015-05-04 02:55:19,C3.0,-556.4107666658238,-235.4904622748072,-561.8330078125,-147.11199951171875,119.80799865722656,512.0,Active Region,HPW021VEL120x512v2_b,eis_20150504_025519.data.h5,-621.7370071411133,-501.9290084838867,-403.11199951171875,108.88800048828125
521,2015-05-04 06:22:39,B9.7,-523.3111841748469,-196.563636100456,-537.3460083007812,-146.10800170898438,119.80799865722656,512.0,Active Region,HPW021VEL120x512v2_b,eis_20150504_062239.data.h5,-597.2500076293945,-477.44200897216797,-402.1080017089844,109.89199829101562
521,2015-05-08 03:40:27,C5.5,-646.9990656073205,276.01759053248367,-655.2449951171875,159.35899353027344,119.80799865722656,512.0,Active Region,HPW021VEL120x512v2_b,eis_20150508_034027.data.h5,-715.1489944458008,-595.3409957885742,-96.64100646972656,415.35899353027344
475,2015-05-08 08:56:03,C1.0,-710.7749678327236,207.15939052863047,-771.7520141601562,228.21299743652344,266.0,304.0,Flare,Flare266_Hunter01,eis_20150508_085603.data.h5,-904.7520141601562,-638.7520141601562,76.21299743652344,380.21299743652344
404,2015-05-10 13:09:33,C2.2,-296.54780578194186,270.9776586249295,-250.33999633789065,207.8730010986328,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20150510_130933.data.h5,-310.2439956665039,-190.43599700927737,127.87300109863281,287.8730010986328
