study ID,flare times,GOES class,hpc x,hpc y,EIS xcen,EIS ycen,EIS fovx,EIS fovy,target,stud_acr,filename,EIS xmin,EIS xmax,EIS ymin,EIS ymax
388,2011-01-27 09:55:40,M1.3,938.2245561093706,464.83791476194295,870.27001953125,359.5509948730469,299.5199890136719,512.0,Active Region,PRY_loop_velocity,eis_20110127_095540.data.h5,720.5100250244141,1020.0300140380859,103.55099487304688,615.5509948730469
388,2011-01-27 09:55:40,C1.2,941.0722243092384,236.16721424685048,870.27001953125,359.5509948730469,299.5199890136719,512.0,Active Region,PRY_loop_velocity,eis_20110127_095540.data.h5,720.5100250244141,1020.0300140380859,103.55099487304688,615.5509948730469
388,2011-01-27 09:55:40,B1.9,941.1562683804192,270.97145992048826,870.27001953125,359.5509948730469,299.5199890136719,512.0,Active Region,PRY_loop_velocity,eis_20110127_095540.data.h5,720.5100250244141,1020.0300140380859,103.55099487304688,615.5509948730469
437,2011-01-22 09:47:14,B3.7,184.83206848060075,368.7373504079941,160.3280029296875,426.2160034179688,239.61599731445312,512.0,Active Region,HPW021_VEL_240x512v1,eis_20110122_094714.data.h5,40.52000427246094,280.13600158691406,170.2160034179688,682.2160034179688
437,2011-01-21 09:26:07,B4.5,-44.36279513943009,388.49176547845735,-119.8489990234375,475.3450012207031,239.61599731445312,512.0,Active Region,HPW021_VEL_240x512v1,eis_20110121_092607.data.h5,-239.65699768066406,-0.0410003662109375,219.34500122070312,731.3450012207031
390,2011-01-17 09:48:25,B1.5,-768.5670208537485,441.2366429584712,-767.9739990234375,423.5889892578125,179.71200561523438,160.0,Flare,HH_Flare_180x160_v2,eis_20110117_094825.data.h5,-857.8300018310547,-678.1179962158203,343.5889892578125,503.5889892578125
390,2011-01-17 18:43:57,B1.7,-725.9428644781001,447.7378090749013,-726.1820068359375,429.22900390625,179.71200561523438,160.0,Flare,HH_Flare_180x160_v2,eis_20110117_184357.data.h5,-816.0380096435547,-636.3260040283203,349.22900390625,509.22900390625
390,2011-01-15 12:21:11,B2.2,-874.2858916234691,446.363684648964,-954.9871215820312,399.2946166992188,179.71200561523438,160.0,Flare,HH_Flare_180x160_v2,eis_20110115_122111.data.h5,-1044.8431243896484,-865.1311187744141,319.2946166992188,479.2946166992188
437,2011-01-30 18:35:40,B2.3,-635.86528409319,-263.1320471051897,-661.35498046875,-273.64801025390625,239.61599731445312,512.0,Active Region,HPW021_VEL_240x512v1,eis_20110130_183540.data.h5,-781.1629791259766,-541.5469818115234,-529.6480102539062,-17.64801025390625
437,2011-01-31 23:52:25,B3.0,-377.1777645293623,-245.75042533975187,-462.2099914550781,-256.2669982910156,239.61599731445312,512.0,Active Region,HPW021_VEL_240x512v1,eis_20110131_235225.data.h5,-582.0179901123047,-342.40199279785156,-512.2669982910156,-0.266998291015625
