EIS flare times,EIS filename,Start Time,Peak Time,End Time,Class,hpc x,hpc y,study_durations
2017-01-04 02:36:33,eis_l0_20170104_023633.fits.gz,2017-01-04 02:34:00.000,2017-01-04 02:39:00.000,2017-01-04 02:50:00.000,B1.8,0.0,57.9131508,941.563
2017-01-10 12:08:42,eis_l0_20170110_120842.fits.gz,2017-01-10 12:56:00.000,2017-01-10 13:00:00.000,2017-01-10 13:04:00.000,B8.8,0.0,69.998424,3897.897
2017-01-16 00:56:43,eis_l0_20170116_005643.fits.gz,2017-01-16 01:41:00.000,2017-01-16 01:44:00.000,2017-01-16 01:48:00.000,B1.3,0.0,79.64094,3030.0
2017-01-20 08:12:27,eis_l0_20170120_081227.fits.gz,2017-01-20 07:51:00.000,2017-01-20 08:36:00.000,2017-01-20 08:44:00.000,B2.7,-835.50702,243.184008,3600.0
2017-01-20 14:42:26,eis_l0_20170120_144226.fits.gz,2017-01-20 15:09:00.000,2017-01-20 15:16:00.000,2017-01-20 15:20:00.000,B3.1,0.0,86.998146,12347.513
2017-01-20 20:02:13,eis_l0_20170120_200213.fits.gz,2017-01-20 20:57:00.000,2017-01-20 21:00:00.000,2017-01-20 21:04:00.000,B2.6,0.0,87.371946,3897.897
2017-01-21 07:06:33,eis_l0_20170121_070633.fits.gz,2017-01-21 07:02:00.000,2017-01-21 07:05:00.000,2017-01-21 07:09:00.000,B8.4,0.0,88.01784,12.465
2017-01-21 13:11:37,eis_l0_20170121_131137.fits.gz,2017-01-21 13:19:00.000,2017-01-21 13:26:00.000,2017-01-21 13:30:00.000,C1.8,0.0,88.41777,3897.897
2017-01-25 01:20:13,eis_l0_20170125_012013.fits.gz,2017-01-25 02:15:00.000,2017-01-25 02:20:00.000,2017-01-25 02:24:00.000,B4.6,0.0,93.626808,3897.897
2017-01-25 02:56:13,eis_l0_20170125_025613.fits.gz,2017-01-25 03:54:00.000,2017-01-25 03:58:00.000,2017-01-25 04:02:00.000,B2.4,0.0,93.724296,3897.897
2017-01-25 16:30:40,eis_l0_20170125_163040.fits.gz,2017-01-25 16:48:00.000,2017-01-25 16:53:00.000,2017-01-25 16:59:00.000,B4.6,-739.7379,323.723592,3897.897
2017-01-25 18:21:11,eis_l0_20170125_182111.fits.gz,2017-01-25 19:22:00.000,2017-01-25 19:32:00.000,2017-01-25 19:42:00.000,B3.8,-704.3697,296.543202,3897.897
