Start Time,Peak Time,End Time,Class,hpc_x,hpc_y
2023-01-02 11:41:00.000,2023-01-02 11:52:00.000,2023-01-02 12:08:00.000,C3.0,-588.8592084781267,361.0944312733948
2023-01-03 06:20:00.000,2023-01-03 06:46:00.000,2023-01-03 07:05:00.000,C3.2,-962.8474640469068,-219.6202878433171
2023-01-03 07:42:00.000,2023-01-03 10:36:00.000,2023-01-03 12:33:00.000,C4.0,-951.6088559874332,-287.45817074318984
2023-01-03 23:43:00.000,2023-01-18 17:54:00.000,2023-01-04 00:56:00.000,C2.3,-259.53614766616374,372.35997379357417
2023-01-04 07:18:00.000,2023-01-04 07:31:00.000,2023-01-04 07:52:00.000,C2.7,-919.425972697325,-367.2078073928111
2023-01-10 22:39:00.000,2023-01-10 22:47:00.000,2023-01-10 22:52:00.000,X1.0,-803.4253380163573,402.9933673815869
2023-01-10 10:59:00.000,2023-01-10 11:08:00.000,2023-01-10 11:12:00.000,M1.0,-850.3588637863286,-186.7669316433177
2023-01-10 12:10:00.000,2023-01-10 12:17:00.000,2023-01-10 12:21:00.000,C8.5,-895.4012382898945,-408.6542801461874
2023-01-10 12:58:00.000,2023-01-10 13:02:00.000,2023-01-10 13:17:00.000,C5.1,-842.0287271831185,-174.14309633089232
2023-01-10 13:49:00.000,2023-01-10 13:59:00.000,2023-01-10 14:05:00.000,C6.8,-844.1596825735178,437.37091910192
2023-01-11 05:31:00.000,2023-01-11 06:09:00.000,2023-01-11 06:29:00.000,M1.3,759.2539050646444,-202.1131053520141
2023-01-12 05:53:00.000,2023-01-12 06:18:00.000,2023-01-12 06:33:00.000,M1.1,-669.5435763124842,416.4797370527006
2023-01-12 20:50:00.000,2023-01-12 21:03:00.000,2023-01-12 21:13:00.000,C8.5,-569.348539890023,432.6176403391587
2023-01-12 13:44:00.000,2023-01-12 13:51:00.000,2023-01-12 13:58:00.000,C4.8,897.1669710967226,-204.0467555259829
2023-01-12 14:39:00.000,2023-01-12 14:57:00.000,2023-01-12 15:10:00.000,M1.0,181.799151098986,-221.5331605294705
2023-01-12 15:48:00.000,2023-01-12 15:55:00.000,2023-01-12 16:01:00.000,C5.1,163.07504488010144,-247.2890934414602
2023-01-12 19:03:00.000,2023-01-12 19:13:00.000,2023-01-12 19:24:00.000,M1.0,236.22914782633063,-221.0347274100301
2023-01-13 09:25:00.000,2023-01-13 09:30:00.000,2023-01-13 09:34:00.000,C4.1,361.5734918239306,-234.7488491847354
2023-01-14 01:29:00.000,2023-01-14 02:09:00.000,2023-01-14 02:30:00.000,M1.3,-898.5956399987917,260.3740552867393
2023-01-19 00:02:00.000,2023-01-20 10:27:00.000,2023-01-20 10:29:00.000,M1.0,-894.4085971829481,307.1900046620769
2023-01-20 12:53:00.000,2023-01-20 12:57:00.000,2023-01-20 13:03:00.000,C4.8,161.5178894244772,-198.2462126525525
2023-01-22 14:04:00.000,2023-01-22 14:11:00.000,2023-01-22 14:18:00.000,C3.6,680.380455180116,-352.03625966033576
2023-01-22 20:54:00.000,2023-01-22 21:28:00.000,2023-01-22 21:55:00.000,C7.9,728.6558494886344,-363.2633106715312
2023-01-23 18:32:00.000,2023-01-23 18:41:00.000,2023-01-23 19:06:00.000,C3.7,803.5151581582672,-387.5261064946906
2023-01-27 07:27:00.000,2023-01-27 07:48:00.000,2023-01-27 08:07:00.000,C5.2,7.795254039172558,689.0258919745226
2023-01-28 07:33:00.000,2023-01-28 08:31:00.000,2023-01-28 08:57:00.000,C2.9,954.6844592046092,261.44033424066663
2023-01-30 07:39:00.000,2023-01-30 07:46:00.000,2023-01-30 07:51:00.000,C1.7,814.7009297841962,1256.1388039133965
2023-02-04 00:25:00.000,2023-02-04 00:55:00.000,2023-02-04 01:47:00.000,C2.2,-764.6623955494724,-234.78071018653435
2023-02-07 06:00:00.000,2023-02-07 06:07:00.000,2023-02-07 06:11:00.000,C3.5,-145.85075277322903,555.4643773604242
2023-02-07 12:02:00.000,2023-02-07 12:13:00.000,2023-02-07 12:16:00.000,C2.5,-957.1526324332226,-251.373735909869
2023-02-07 12:16:00.000,2023-02-07 12:23:00.000,2023-02-07 12:26:00.000,C3.6,-140.8009292280767,584.4167877278716
2023-02-07 12:26:00.000,2023-02-07 12:32:00.000,2023-02-07 12:38:00.000,C5.8,-49.09463786100969,538.5883520035003
2023-02-07 13:09:00.000,2023-02-07 13:23:00.000,2023-02-07 13:33:00.000,C5.5,-120.4407652777154,566.9644587837541
2023-02-07 13:33:00.000,2023-02-07 13:53:00.000,2023-02-07 14:15:00.000,M1.0,-949.947329385206,-249.5901849910091
2023-02-07 18:09:00.000,2023-02-07 18:23:00.000,2023-02-07 18:40:00.000,C5.4,-78.7295801518485,573.251644734652
2023-02-07 19:26:00.000,2023-02-07 19:33:00.000,2023-02-07 19:38:00.000,C4.5,-72.71456617838703,578.6382943670374
