study ID,flare times,GOES class,hpc x,hpc y,EIS xcen,EIS ycen,EIS fovx,EIS fovy,target,stud_acr,filename,EIS xmin,EIS xmax,EIS ymin,EIS ymax
521,2018-05-28 14:15:09,B1.4,-403.6527827880345,272.04464316327216,-387.2210083007813,245.24899291992188,119.80799865722656,512.0,Active Region,HPW021VEL120x512v2_b,eis_20180528_141509.data.h5,-447.1250076293946,-327.317008972168,-10.751007080078125,501.2489929199219
521,2018-05-28 16:08:42,B7.0,-388.65899027953856,268.40775166449896,-372.2349853515625,245.093994140625,119.80799865722656,512.0,Active Region,HPW021VEL120x512v2_b,eis_20180528_160842.data.h5,-432.1389846801758,-312.3309860229492,-10.906005859375,501.093994140625
521,2018-05-29 00:04:42,B2.7,-282.4872566808481,248.3501390089265,-291.35699462890625,204.9250030517578,119.80799865722656,512.0,Active Region,HPW021VEL120x512v2_b,eis_20180529_000442.data.h5,-351.26099395751953,-231.45299530029297,-51.07499694824219,460.9250030517578
569,2018-05-31 01:15:43,B5.0,152.03034314324088,264.10936857941545,143.48699951171875,178.5970001220703,260.5820007324219,512.0,Active Region,HPW021VEL260x512v2,eis_20180531_011543.data.h5,13.195999145507812,273.7779998779297,-77.40299987792969,434.5970001220703
544,2018-05-31 11:00:21,B2.6,253.4224860661448,253.06365730589675,257.5889892578125,175.9739990234375,491.2130126953125,512.0,Quiet Sun,DHB_007,eis_20180531_110021.data.h5,11.98248291015625,503.19549560546875,-80.0260009765625,431.9739990234375
569,2018-05-31 16:16:14,B1.9,291.8609959542544,266.1736595043592,303.1059875488281,175.2790069580078,260.5820007324219,512.0,Active Region,HPW021VEL260x512v2,eis_20180531_161614.data.h5,172.8149871826172,433.39698791503906,-80.72099304199219,431.2790069580078
569,2018-05-31 21:06:43,B1.2,310.47837039435694,272.1303628277181,344.0469970703125,174.5070037841797,260.5820007324219,512.0,Active Region,HPW021VEL260x512v2,eis_20180531_210643.data.h5,213.75599670410156,474.33799743652344,-81.49299621582031,430.5070037841797
569,2018-06-02 22:04:13,B2.0,674.7168701008214,261.0526823926102,695.6649780273438,78.55870056152344,260.5820007324219,512.0,Active Region,HPW021VEL260x512v2,eis_20180602_220413.data.h5,565.3739776611328,825.9559783935547,-177.44129943847656,334.55870056152344
569,2018-06-03 07:55:19,B7.9,748.2417404330606,218.7249139106505,751.6699829101562,77.4000015258789,260.5820007324219,512.0,Active Region,HPW021VEL260x512v2,eis_20180603_075519.data.h5,621.3789825439453,881.9609832763672,-178.5999984741211,333.4000015258789
569,2018-06-17 12:53:13,B1.2,-133.58955811918713,57.9553930114615,-155.97300720214844,-110.28199768066406,260.5820007324219,512.0,Active Region,HPW021VEL260x512v2,eis_20180617_125313.data.h5,-286.2640075683594,-25.6820068359375,-366.28199768066406,145.71800231933594
404,2018-06-17 14:33:11,B1.2,-133.58955811918713,57.9553930114615,-173.95199584960938,4.486040115356445,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20180617_143311.data.h5,-233.85599517822266,-114.0479965209961,-75.51395988464355,84.48604011535645
569,2018-06-20 11:22:43,B1.8,497.14091705048185,64.24239163961887,480.2579956054688,-91.87359619140624,260.5820007324219,512.0,Active Region,HPW021VEL260x512v2,eis_20180620_112243.data.h5,349.96699523925787,610.5489959716797,-347.87359619140625,164.12640380859375
569,2018-06-23 21:22:40,B1.3,919.1004829478416,100.43585471592182,906.6400146484376,37.4552001953125,260.5820007324219,512.0,Active Region,HPW021VEL260x512v2,eis_20180623_212240.data.h5,776.3490142822267,1036.9310150146484,-218.5447998046875,293.4552001953125
569,2018-06-27 04:02:13,B1.6,838.8019293442894,128.17839959165596,856.2769775390625,-39.85219955444336,260.5820007324219,512.0,Active Region,HPW021VEL260x512v2,eis_20180627_040213.data.h5,725.9859771728516,986.5679779052734,-295.85219955444336,216.14780044555664
521,2018-07-29 21:27:11,B1.0,-910.2972385573668,-138.01812337817387,-898.235595703125,-158.86865234375,119.80799865722656,512.0,Active Region,HPW021VEL120x512v2_b,eis_20180729_212711.data.h5,-958.1395950317383,-838.3315963745117,-414.86865234375,97.13134765625
569,2018-08-23 19:48:34,A6.8,109.6795237359776,-263.7236418637147,58.13850021362305,-296.1659851074219,260.5820007324219,512.0,Active Region,HPW021VEL260x512v2,eis_20180823_194834.data.h5,-72.15250015258789,188.42950057983398,-552.1659851074219,-40.165985107421875
