study ID,flare times,GOES class,hpc x,hpc y,EIS xcen,EIS ycen,EIS fovx,EIS fovy,target,stud_acr,filename,EIS xmin,EIS xmax,EIS ymin,EIS ymax
475,2024-01-12 09:02:26,C5.9,213.2108479016764,-310.7653118726498,84.76399993896484,-365.5239868164063,266.0,304.0,Flare,Flare266_Hunter01,eis_20240112_090226.data.h5,-48.236000061035156,217.76399993896484,-517.5239868164062,-213.5239868164063
569,2024-01-23 12:00:21,M1.0,-197.8936158220749,559.6278778289932,-118.12899780273438,349.6260070800781,260.5820007324219,512.0,Active Region,HPW021VEL260x512v2,eis_20240123_120021.data.h5,-248.4199981689453,12.162002563476562,93.62600708007812,605.6260070800781
569,2024-01-25 13:00:41,C4.2,396.7723069958629,479.6404611111668,275.697998046875,349.0,260.5820007324219,512.0,Active Region,HPW021VEL260x512v2,eis_20240125_130041.data.h5,145.40699768066406,405.98899841308594,93.0,605.0
569,2024-01-26 00:41:42,C9.0,903.1208785599372,-251.38240970242623,940.0900268554688,-105.0,260.5820007324219,512.0,Active Region,HPW021VEL260x512v2,eis_20240126_004142.data.h5,809.7990264892578,1070.3810272216797,-361.0,151.0
475,2024-01-29 01:27:56,M1.2,752.2799374737191,524.7710675894594,764.1630249023438,407.7409973144531,266.0,304.0,Flare,Flare266_Hunter01,eis_20240129_012756.data.h5,631.1630249023438,897.1630249023438,255.74099731445312,559.7409973144531
475,2024-01-30 01:54:24,C1.4,865.1649696795979,471.6252557665874,836.4669799804688,364.8689880371094,266.0,304.0,Flare,Flare266_Hunter01,eis_20240130_015424.data.h5,703.4669799804688,969.4669799804688,212.86898803710938,516.8689880371094
475,2024-02-12 12:56:12,M1.1,443.9136606938577,-180.1634887222023,418.552001953125,-227.843994140625,266.0,304.0,Flare,Flare266_Hunter01,eis_20240212_125612.data.h5,285.552001953125,551.552001953125,-379.843994140625,-75.843994140625
475,2024-02-14 14:46:43,C2.6,829.5283672066386,-231.58207406518324,749.302001953125,-261.0599975585937,266.0,304.0,Flare,Flare266_Hunter01,eis_20240214_144643.data.h5,616.302001953125,882.302001953125,-413.0599975585937,-109.0599975585937
475,2024-02-15 01:35:03,C2.9,867.6061611097853,-246.8656193882856,799.6680297851562,-270.6390075683594,266.0,304.0,Flare,Flare266_Hunter01,eis_20240215_013503.data.h5,666.6680297851562,932.6680297851562,-422.6390075683594,-118.63900756835938
544,2024-02-15 11:28:14,C2.7,915.0757325277756,-220.518707442788,838.4169921875,-383.9089965820313,491.2130126953125,512.0,Quiet Sun,DHB_007,eis_20240215_112814.data.h5,592.8104858398438,1084.0234985351562,-639.9089965820312,-127.9089965820313
544,2024-02-23 09:49:32,C3.8,-339.1518007013947,424.4492288079092,-382.1419982910156,242.8179931640625,491.2130126953125,512.0,Quiet Sun,DHB_007,eis_20240223_094932.data.h5,-627.7485046386719,-136.53549194335938,-13.1820068359375,498.8179931640625
