Start Time,Peak Time,End Time,Class,hpc_x,hpc_y
2012-01-04 10:59:00.000,2012-01-04 11:06:00.000,2012-01-04 11:14:00.000,C1.3,870.5151124385694,-320.14498447954617
2012-01-05 11:51:00.000,2012-01-05 12:38:00.000,2012-01-05 13:00:00.000,C2.1,241.7591579726282,493.90897299447226
2012-01-06 17:03:00.000,2012-01-06 17:06:00.000,2012-01-06 17:09:00.000,B6.8,955.7374889128909,183.1353068118184
2012-01-10 04:14:00.000,2012-01-10 04:18:00.000,2012-01-10 04:24:00.000,B7.1,171.97896697623815,307.0654283204738
2012-01-11 00:01:00.000,2012-01-11 00:11:00.000,2012-01-11 00:23:00.000,C2.2,917.9927377880796,341.2773272214521
2012-01-11 04:31:00.000,2012-01-11 04:46:00.000,2012-01-11 05:09:00.000,C3.7,884.9399438979972,321.5534374290716
2012-01-11 13:06:00.000,2012-01-11 13:11:00.000,2012-01-11 13:29:00.000,B7.6,931.7400921868972,318.44052470661524
2012-01-14 03:19:00.000,2012-01-14 03:35:00.000,2012-01-14 04:03:00.000,C2.1,-272.86009220127016,491.7661229435202
2012-01-15 10:57:00.000,2012-01-15 11:01:00.000,2012-01-15 11:03:00.000,C1.0,968.6080319774852,152.57200510172916
2012-01-19 12:41:00.000,2012-01-19 12:50:00.000,2012-01-19 13:00:00.000,C3.2,684.1514235061538,476.2332722432111
2012-01-21 13:35:00.000,2012-01-21 13:42:00.000,2012-01-21 13:47:00.000,C2.4,875.4591900429189,424.1627001237316
2012-01-22 12:38:00.000,2012-01-22 12:55:00.000,2012-01-22 13:47:00.000,C3.7,272.6949603271441,387.05826682277177
2012-01-30 03:15:00.000,2012-01-30 03:23:00.000,2012-01-30 03:30:00.000,B5.1,965.4459710146704,172.78616046754934
2012-01-31 14:04:00.000,2012-01-31 14:15:00.000,2012-01-31 14:28:00.000,B9.9,777.2791254181304,283.05863990993026
2012-02-01 08:50:00.000,2012-02-01 09:16:00.000,2012-02-01 09:37:00.000,B6.4,894.7689532072999,228.76510876629484
2012-02-01 04:13:00.000,2012-02-01 04:41:00.000,2012-02-01 04:55:00.000,C1.0,894.1919370559394,238.3681043379571
2012-02-02 18:06:00.000,2012-02-02 18:15:00.000,2012-02-02 18:21:00.000,B8.9,270.66886048766435,232.666337250885
2012-02-06 14:42:00.000,2012-02-06 14:47:00.000,2012-02-06 14:52:00.000,B7.9,772.6272903562217,377.3628858854554
2012-02-09 04:59:00.000,2012-02-09 05:09:00.000,2012-02-09 05:14:00.000,B9.3,-532.8336863389704,-216.007938781508
2012-02-12 11:03:00.000,2012-02-12 11:06:00.000,2012-02-12 11:08:00.000,B5.2,-841.8791701667942,472.2450583507797
2012-02-24 13:21:00.000,2012-02-24 13:24:00.000,2012-02-24 13:30:00.000,B4.7,-957.2733237361537,204.2756345879937
2012-02-25 14:20:00.000,2012-02-25 15:00:00.000,2012-02-25 15:15:00.000,B5.9,-961.332446877146,263.0966751191557
2012-02-26 09:09:00.000,2012-02-26 09:55:00.000,2012-02-26 10:33:00.000,B5.2,-651.2346682280768,418.8777453388704
2012-03-01 08:52:00.000,2012-03-01 10:10:00.000,2012-03-01 11:16:00.000,B5.5,-165.5272891819477,260.4851992136577
2012-03-06 12:23:00.000,2012-03-06 12:41:00.000,2012-03-06 12:54:00.000,M2.1,-548.2046661276836,375.4115327149437
2012-03-06 21:04:00.000,2012-03-06 21:11:00.000,2012-03-06 21:14:00.000,M1.3,-465.37740287650377,380.6139912182888
2012-03-09 03:22:00.000,2012-03-09 03:53:00.000,2012-03-09 04:18:00.000,M6.3,63.905263618038376,374.5432125794192
2012-03-08 10:19:00.000,2012-03-08 10:23:00.000,2012-03-08 10:26:00.000,C1.7,-144.27416385686956,399.04755923794056
2012-03-17 18:04:00.000,2012-03-17 18:14:00.000,2012-03-17 18:25:00.000,B6.0,597.7025173303148,330.004877555475
2012-03-17 20:32:00.000,2012-03-17 20:39:00.000,2012-03-17 20:42:00.000,M1.3,386.3045536804178,-236.59090685249868
2012-03-19 08:32:00.000,2012-03-19 11:02:00.000,2012-03-19 11:07:00.000,B3.9,802.3155063272425,313.0691710261563
2012-03-21 09:55:00.000,2012-03-21 10:07:00.000,2012-03-21 10:12:00.000,B9.4,268.46583187373017,-334.3662644418101
2012-03-21 12:38:00.000,2012-03-21 12:52:00.000,2012-03-21 13:01:00.000,C2.9,301.4717910450645,-334.4454116368117
2012-03-21 15:42:00.000,2012-03-21 15:50:00.000,2012-03-21 15:56:00.000,C1.1,324.2661923943487,-338.7004398706011
2012-03-22 17:39:00.000,2012-03-22 17:50:00.000,2012-03-22 17:56:00.000,C1.1,871.3350892872447,-433.62621847243634
2012-03-23 23:26:00.000,2012-03-23 23:29:00.000,2012-03-23 23:31:00.000,B3.8,-877.2289654915221,-371.819495007617
2012-03-24 22:51:00.000,2012-03-24 22:55:00.000,2012-03-24 22:58:00.000,B3.6,-830.9153485661373,-327.5221770579562
2012-03-25 11:19:00.000,2012-03-25 11:57:00.000,2012-03-25 12:21:00.000,B9.0,-230.0328351869248,442.8751544542004
2012-03-26 11:17:00.000,2012-03-26 11:37:00.000,2012-03-26 11:41:00.000,B4.0,-926.1688280303496,-312.1869269629638
2012-03-27 02:50:00.000,2012-03-27 03:08:00.000,2012-03-27 03:22:00.000,C5.3,51.39552174738316,433.1978509032042
2012-03-28 11:31:00.000,2012-03-28 11:34:00.000,2012-03-28 11:36:00.000,B4.7,740.1351392943266,-393.005723807698
