Start Time,Peak Time,End Time,Class,hpc_x,hpc_y
2019-01-29 07:20:00.000,2019-01-29 07:36:00.000,2019-01-29 07:42:00.000,B8.4,921.7067623466046,104.10238757572556
2019-01-25 16:03:00.000,2019-01-25 16:11:00.000,2019-01-25 16:22:00.000,B2.3,247.95364361384367,186.2981520173628
2019-01-12 19:05:00.000,2019-01-12 19:06:00.000,2019-01-12 19:07:00.000,A1.1,504.8323350951621,-1206.266231350713
2019-01-06 04:23:00.000,2019-01-06 04:52:00.000,2019-01-06 05:14:00.000,B2.1,945.5930387135317,162.02508886035648
2019-01-06 08:35:00.000,2019-01-06 08:40:00.000,2019-01-06 08:48:00.000,B1.4,953.4174253798294,171.6074119544265
2019-01-06 10:31:00.000,2019-01-06 10:51:00.000,2019-01-06 11:00:00.000,C1.6,949.2164493579348,171.619260751914
2019-01-28 17:32:00.000,2019-01-28 17:37:00.000,2019-01-28 19:16:00.000,B1.2,849.6950499381535,138.01989081500415
2019-01-30 05:56:00.000,2019-01-30 06:11:00.000,2019-01-30 06:19:00.000,C5.2,970.1942772559968,81.85534344126886
2019-01-30 10:31:00.000,2019-01-30 10:38:00.000,2019-01-30 10:43:00.000,B8.5,975.0650170912356,78.8880378387359
2019-01-30 22:28:00.000,2019-01-30 22:32:00.000,2019-01-30 22:35:00.000,B2.5,976.6808852806694,78.69395353599249
2019-03-18 13:39:00.000,2019-03-18 13:43:00.000,2019-03-18 13:46:00.000,B1.2,-399.42048655217513,146.67702198439378
2019-03-18 17:31:00.000,2019-03-18 17:34:00.000,2019-03-18 17:38:00.000,B1.3,-357.5500761058647,147.72814846568693
2019-03-20 00:17:00.000,2019-03-20 00:20:00.000,2019-03-20 00:22:00.000,B1.1,359.9521388720491,268.44905960596674
2019-03-20 10:35:00.000,2019-03-20 11:18:00.000,2019-03-20 11:34:00.000,C4.8,433.21465904006254,252.7463612530317
2019-03-20 13:06:00.000,2019-03-20 13:09:00.000,2019-03-20 13:14:00.000,B1.0,436.7314953007743,253.91349420445945
2019-03-21 11:17:00.000,2019-03-21 11:21:00.000,2019-03-21 11:31:00.000,B1.1,654.0216244167046,231.1823912558434
2019-03-22 11:54:00.000,2019-03-22 11:58:00.000,2019-03-22 12:04:00.000,B3.5,756.610631046164,220.0482954817248
2019-03-23 12:10:00.000,2019-03-23 12:16:00.000,2019-03-23 12:22:00.000,B3.1,883.0737950560707,231.07788343072465
2019-03-23 12:41:00.000,2019-03-23 12:49:00.000,2019-03-23 13:01:00.000,B5.7,916.4965012229408,154.78291121474587
2019-03-23 18:49:00.000,2019-03-23 18:53:00.000,2019-03-23 18:55:00.000,B4.5,908.1205109045212,164.43621429603294
2019-03-23 20:48:00.000,2019-03-23 20:51:00.000,2019-03-23 20:54:00.000,B2.1,903.452192183823,219.6579886417604
2019-03-24 02:28:00.000,2019-03-24 02:33:00.000,2019-03-24 02:51:00.000,B8.6,945.9450359413688,140.87777426435724
2019-03-24 07:13:00.000,2019-03-24 07:20:00.000,2019-03-24 07:27:00.000,B4.3,949.0845670577436,133.18424208470708
2019-03-24 14:32:00.000,2019-03-24 14:37:00.000,2019-03-24 14:43:00.000,B2.6,956.8169873008792,161.3310558942079
2019-03-24 19:16:00.000,2019-03-24 19:31:00.000,2019-03-24 19:40:00.000,B9.6,969.834076759177,125.92395313493152
2019-03-25 06:07:00.000,2019-03-25 06:15:00.000,2019-03-25 06:27:00.000,B1.5,970.0089932269478,98.91865974577524
2019-03-25 13:08:00.000,2019-03-25 14:10:00.000,2019-03-25 14:35:00.000,B3.6,975.3663717838192,107.90031599673942
2019-04-07 03:51:00.000,2019-04-07 03:55:00.000,2019-04-07 03:58:00.000,B1.6,-958.2384896231816,136.69071325916798
2019-04-08 13:55:00.000,2019-04-08 14:00:00.000,2019-04-08 14:08:00.000,B5.6,-886.7366394060664,172.12386274799712
2019-04-09 23:22:00.000,2019-04-09 23:26:00.000,2019-04-09 23:31:00.000,B1.3,-758.4213619413786,146.96832685926455
2019-04-10 04:59:00.000,2019-04-10 05:24:00.000,2019-04-10 06:01:00.000,B2.0,-780.9478828243446,225.12540206329024
2019-04-14 18:59:00.000,2019-04-14 19:02:00.000,2019-04-14 19:04:00.000,B1.4,309.1579955191128,140.75507775653975
2019-04-14 20:44:00.000,2019-04-14 20:47:00.000,2019-04-14 20:49:00.000,B1.3,342.19309728736044,152.67687042877537
2019-04-15 19:27:00.000,2019-04-15 19:31:00.000,2019-04-15 19:34:00.000,B3.3,541.423892082249,141.32398286171218
2019-04-19 16:10:00.000,2019-04-19 16:13:00.000,2019-04-19 16:16:00.000,B1.3,954.67104742462,71.31995013720301
2019-05-03 14:20:00.000,2019-05-03 14:49:00.000,2019-05-03 15:07:00.000,B3.9,-950.8173656219152,200.4927007330468
2019-05-05 06:37:00.000,2019-05-05 06:42:00.000,2019-05-05 06:44:00.000,B2.3,-843.2674696859904,150.93797019480274
2019-05-05 09:30:00.000,2019-05-05 09:33:00.000,2019-05-05 09:36:00.000,B1.8,-831.3622695582453,154.5316661901998
2019-05-05 14:51:00.000,2019-05-05 14:54:00.000,2019-05-05 15:00:00.000,B1.6,-806.270113319857,157.4985904577088
