EIS flare times,EIS filename,Start Time,Peak Time,End Time,Class,hpc x,hpc y,study_durations
2011-01-07 13:34:21,eis_l0_20110107_133421.fits.gz,2011-01-07 15:12:00.000,2011-01-07 15:20:00.000,2011-01-07 15:34:00.000,B5.1,0.0,63.7716,17428.782
2011-01-04 23:35:19,eis_l0_20110104_233519.fits.gz,2011-01-04 23:39:00.000,2011-01-04 23:45:00.000,2011-01-04 23:51:00.000,B4.2,0.0,58.71282,7795.793
2011-01-12 19:58:51,eis_l0_20110112_195851.fits.gz,2011-01-12 21:19:00.000,2011-01-12 21:41:00.000,2011-01-12 22:05:00.000,B1.6,0.0,73.3704,16339.483
2011-01-26 13:03:13,eis_l0_20110126_130313.fits.gz,2011-01-26 15:14:00.000,2011-01-26 15:18:00.000,2011-01-26 15:21:00.000,B2.0,0.0,95.1408,17381.125
2011-01-26 06:15:40,eis_l0_20110126_061540.fits.gz,2011-01-26 06:51:00.000,2011-01-26 06:57:00.000,2011-01-26 07:06:00.000,B1.8,0.0,94.6554,4050.0
2011-01-26 08:45:40,eis_l0_20110126_084540.fits.gz,2011-01-26 08:54:00.000,2011-01-26 08:57:00.000,2011-01-26 08:59:00.000,B1.1,0.0,94.7742,3750.0
2011-01-27 19:58:53,eis_l0_20110127_195853.fits.gz,2011-01-27 19:50:00.000,2011-01-27 20:03:00.000,2011-01-27 20:19:00.000,C1.5,0.0,96.7698,3897.897
2011-01-27 09:55:40,eis_l0_20110127_095540.fits.gz,2011-01-27 11:05:00.000,2011-01-27 11:16:00.000,2011-01-27 11:22:00.000,B1.6,0.0,96.276,16339.483
2011-01-22 09:47:14,eis_l0_20110122_094714.fits.gz,2011-01-22 11:32:00.000,2011-01-22 11:38:00.000,2011-01-22 11:47:00.000,B3.7,0.0,89.124,7795.793
2011-01-22 00:36:57,eis_l0_20110122_003657.fits.gz,2011-01-22 01:09:00.000,2011-01-22 01:14:00.000,2011-01-22 01:26:00.000,B1.7,0.0,88.4682,7972.821
2011-01-21 09:26:07,eis_l0_20110121_092607.fits.gz,2011-01-21 09:51:00.000,2011-01-21 09:57:00.000,2011-01-21 10:12:00.000,B4.5,0.0,87.4914,7795.793
2011-01-21 13:39:54,eis_l0_20110121_133954.fits.gz,2011-01-21 14:24:00.000,2011-01-21 14:38:00.000,2011-01-21 14:49:00.000,C1.4,0.0,87.783,3897.897
2011-01-17 09:48:25,eis_l0_20110117_094825.fits.gz,2011-01-17 09:40:00.000,2011-01-17 09:44:00.000,2011-01-17 09:57:00.000,B1.5,0.0,81.0906,308.0
2011-01-17 18:43:57,eis_l0_20110117_184357.fits.gz,2011-01-17 18:35:00.000,2011-01-17 18:56:00.000,2011-01-17 19:09:00.000,B1.7,0.0,81.7026,308.0
2011-01-14 02:11:41,eis_l0_20110114_021141.fits.gz,2011-01-14 01:28:00.000,2011-01-14 03:30:00.000,2011-01-14 04:38:00.000,C1.6,0.0,75.4254,324.825
2011-01-14 22:10:01,eis_l0_20110114_221001.fits.gz,2011-01-14 22:37:00.000,2011-01-14 22:58:00.000,2011-01-14 23:18:00.000,B1.8,0.0,76.947,16339.483
2011-01-14 01:41:41,eis_l0_20110114_014141.fits.gz,2011-01-14 01:28:00.000,2011-01-14 03:30:00.000,2011-01-14 04:38:00.000,C1.6,0.0,75.4254,324.825
2011-01-14 01:56:41,eis_l0_20110114_015641.fits.gz,2011-01-14 01:28:00.000,2011-01-14 03:30:00.000,2011-01-14 04:38:00.000,C1.6,0.0,75.4254,324.825
