Start Time,Peak Time,End Time,Class,hpc_x,hpc_y
2022-02-25 13:55:00.000,2022-02-25 14:01:00.000,2022-02-25 14:05:00.000,B3.0,843.3592494257914,-450.18782647953554
2022-03-02 20:26:00.000,2022-03-02 20:34:00.000,2022-03-02 20:41:00.000,B7.7,-909.397209330462,-352.4950564901997
2022-03-04 22:42:00.000,2022-03-04 22:56:00.000,2022-03-04 23:02:00.000,B9.7,-792.9140233360231,-274.24920533874155
2022-03-05 19:56:00.000,2022-03-05 20:22:00.000,2022-03-05 20:44:00.000,C2.7,-745.992994422093,503.40262121350025
2022-03-08 07:41:00.000,2022-03-08 07:51:00.000,2022-03-08 07:57:00.000,B8.7,789.4707208581585,-195.84146921721165
2022-03-08 22:22:00.000,2022-03-08 22:27:00.000,2022-03-08 22:32:00.000,C1.1,-867.8377813911065,430.41904663183857
2022-03-08 13:56:00.000,2022-03-08 14:03:00.000,2022-03-08 14:22:00.000,B5.7,-886.2397890232969,407.1291705067569
2022-03-09 12:42:00.000,2022-03-09 12:49:00.000,2022-03-09 12:54:00.000,C1.0,-838.1888564466499,447.182044806242
2022-03-11 11:11:00.000,2022-03-11 11:22:00.000,2022-03-11 11:34:00.000,C2.2,727.731965046166,-398.0146980502116
2022-03-11 12:56:00.000,2022-03-11 13:08:00.000,2022-03-11 13:17:00.000,C1.6,-637.8679177584127,464.0205224437217
2022-03-13 05:59:00.000,2022-03-13 06:15:00.000,2022-03-13 06:31:00.000,C1.4,902.9386905334568,-390.8073205031333
2022-03-15 05:57:00.000,2022-03-15 06:04:00.000,2022-03-15 06:17:00.000,C3.7,115.27579610287856,500.4484747369344
2022-03-18 16:22:00.000,2022-03-18 16:28:00.000,2022-03-18 16:32:00.000,B2.9,592.6128462859084,537.6373550916989
2022-03-18 19:56:00.000,2022-03-18 20:03:00.000,2022-03-18 20:10:00.000,B3.3,643.5219958706521,535.0746279410153
2022-03-18 23:33:00.000,2022-03-18 23:48:00.000,2022-03-19 00:08:00.000,B7.1,655.5209741316127,535.6140969460827
2022-03-19 03:49:00.000,2022-03-19 04:13:00.000,2022-03-19 07:38:00.000,C1.2,684.9554189422715,528.9244419294845
2022-03-19 07:38:00.000,2022-03-19 07:45:00.000,2022-03-19 07:52:00.000,B3.7,691.03809944256,529.5770122353687
