study ID,flare times,GOES class,hpc x,hpc y,EIS xcen,EIS ycen,EIS fovx,EIS fovy,target,stud_acr,filename,EIS xmin,EIS xmax,EIS ymin,EIS ymax
403,2013-01-12 19:08:20,C3.9,-286.55507345334627,141.53360942992597,-323.7860107421875,195.2969970703125,119.80799865722656,160.0,Quiet Sun,Atlas_30,eis_20130112_190820.data.h5,-383.6900100708008,-263.8820114135742,115.2969970703125,275.2969970703125
476,2013-01-13 10:50:27,C1.6,-165.2817622104194,240.29677681966683,-266.8949890136719,194.3179931640625,239.61599731445312,512.0,Quiet Sun,HPW021_VEL_240x512v2,eis_20130113_105027.data.h5,-386.70298767089844,-147.0869903564453,-61.6820068359375,450.3179931640625
461,2013-01-14 07:36:27,B8.7,29.82848790698069,160.5168374809715,-24.924999237060547,198.4129943847656,179.71200561523438,152.0,Flare,HH_Flare+AR_180x152,eis_20130114_073627.data.h5,-114.78100204467773,64.93100357055664,122.4129943847656,274.4129943847656
437,2013-01-22 22:28:20,B5.4,459.7794496775971,297.0898389262667,389.31201171875,294.489013671875,239.61599731445312,512.0,Active Region,HPW021_VEL_240x512v1,eis_20130122_222820.data.h5,269.50401306152344,509.12001037597656,38.489013671875,550.489013671875
485,2013-02-03 08:13:25,C1.5,-769.9236365521792,432.9760889486272,-701.4539794921875,415.7099914550781,161.74099731445312,152.0,Flare,HH_Flare_162x152,eis_20130203_081325.data.h5,-782.3244781494141,-620.5834808349609,339.7099914550781,491.7099914550781
461,2013-02-23 16:03:03,C4.7,965.5325629594676,187.99079002991783,990.7589721679688,220.46600341796875,179.71200561523438,152.0,Flare,HH_Flare+AR_180x152,eis_20130223_160303.data.h5,900.9029693603516,1080.614974975586,144.46600341796875,296.46600341796875
491,2013-02-25 09:47:10,B8.9,983.650027173063,256.26812159591054,934.9600219726562,185.57699584960935,491.2130126953125,512.0,Active Region,DHB_006,eis_20130225_094710.data.h5,689.353515625,1180.5665283203125,-70.42300415039065,441.5769958496094
498,2013-02-22 00:19:35,B5.6,892.2227050963066,240.3457839926088,878.52001953125,185.8990020751953,43.92959976196289,120.0,Flare,PRY_flare_1,eis_20130222_001935.data.h5,856.5552196502686,900.4848194122314,125.89900207519531,245.8990020751953
480,2013-03-02 14:04:40,M2.3,451.54682755823137,-339.7617642980292,304.3689880371094,-109.80500030517578,479.2319946289063,512.0,Active Region,HPW022_VEL_480x512v1,eis_20130302_140440.data.h5,64.75299072265622,543.9849853515625,-365.8050003051758,146.19499969482422
461,2013-03-10 05:36:36,B4.9,-441.4907215407584,301.4348940127434,-468.3330078125,287.6340026855469,179.71200561523438,152.0,Flare,HH_Flare+AR_180x152,eis_20130310_053636.data.h5,-558.1890106201172,-378.4770050048828,211.63400268554688,363.6340026855469
372,2013-03-27 17:25:39,B2.0,-436.0410273207817,319.3082719533155,-394.0450134277344,335.7590026855469,257.5870056152344,240.0,Active Region,VHH_SlowAR_1h12_V2,eis_20130327_172539.data.h5,-522.8385162353516,-265.2515106201172,215.75900268554688,455.7590026855469
461,2013-04-14 20:57:00,B7.0,857.4751240383277,341.9283437441778,870.81201171875,359.7059936523437,179.71200561523438,152.0,Flare,HH_Flare+AR_180x152,eis_20130414_205700.data.h5,780.9560089111328,960.6680145263672,283.7059936523437,435.7059936523437
461,2013-04-15 09:14:34,C1.1,877.5814884740204,353.87957618844365,870.81201171875,359.5509948730469,179.71200561523438,152.0,Flare,HH_Flare+AR_180x152,eis_20130415_091434.data.h5,780.9560089111328,960.6680145263672,283.5509948730469,435.5509948730469
437,2013-04-16 18:29:27,B6.4,845.2560233016372,194.33583003696305,844.0800170898438,175.7790069580078,239.61599731445312,512.0,Active Region,HPW021_VEL_240x512v1,eis_20130416_182927.data.h5,724.2720184326172,963.8880157470703,-80.22099304199219,431.7790069580078
461,2013-04-17 03:00:19,B7.2,870.4415503444977,177.95756692857515,886.3660278320312,168.51800537109375,179.71200561523438,152.0,Flare,HH_Flare+AR_180x152,eis_20130417_030019.data.h5,796.5100250244141,976.2220306396484,92.51800537109375,244.51800537109375
461,2013-04-21 20:20:45,C2.7,747.8814180644919,-258.1814395473748,723.1370239257812,-266.6180114746094,179.71200561523438,152.0,Flare,HH_Flare+AR_180x152,eis_20130421_202045.data.h5,633.2810211181641,812.9930267333984,-342.6180114746094,-190.61801147460938
209,2013-04-23 19:15:13,C1.8,638.9832808158466,297.20552164083955,682.0469970703125,234.8730010986328,121.80500030517578,512.0,Quiet Sun,EUNIS_EIS_CrossCal,eis_20130423_191513.data.h5,621.1444969177246,742.9494972229004,-21.126998901367188,490.8730010986328
209,2013-04-24 16:37:19,C2.5,820.6422154668544,225.3554190200326,803.8670043945312,220.968994140625,121.80500030517578,512.0,Quiet Sun,EUNIS_EIS_CrossCal,eis_20130424_163719.data.h5,742.9645042419434,864.7695045471191,-35.031005859375,476.968994140625
461,2013-04-27 02:43:01,C5.2,949.0120017871814,152.8469837982923,891.6890258789062,209.45899963378903,179.71200561523438,152.0,Flare,HH_Flare+AR_180x152,eis_20130427_024301.data.h5,801.8330230712891,981.5450286865234,133.45899963378903,285.45899963378906
377,2013-04-27 15:05:04,C1.9,948.370810348712,186.63977954638872,999.68798828125,269.3819885253906,323.48199462890625,376.0,Active Region,cam_ar_limb_lite_v2,eis_20130427_150504.data.h5,837.9469909667969,1161.4289855957031,81.38198852539062,457.3819885253906
377,2013-04-27 09:53:17,C3.1,950.2197718504289,207.0404827029903,999.68798828125,269.30499267578125,323.48199462890625,376.0,Active Region,cam_ar_limb_lite_v2,eis_20130427_095317.data.h5,837.9469909667969,1161.4289855957031,81.30499267578125,457.30499267578125
377,2013-04-27 12:15:55,C3.1,950.2197718504289,207.0404827029903,999.68798828125,269.30499267578125,323.48199462890625,376.0,Active Region,cam_ar_limb_lite_v2,eis_20130427_121555.data.h5,837.9469909667969,1161.4289855957031,81.30499267578125,457.30499267578125
437,2013-05-03 10:28:16,C1.7,575.9063753499714,219.8294597627563,550.4619750976562,178.3280029296875,239.61599731445312,512.0,Active Region,HPW021_VEL_240x512v1,eis_20130503_102816.data.h5,430.6539764404297,670.2699737548828,-77.6719970703125,434.3280029296875
495,2013-05-05 20:53:01,C1.1,855.0594353547303,200.92526853125827,866.4869995117188,178.58399963378906,179.71200561523438,152.0,Flare,HH_Flare+AR_180x152H,eis_20130505_205301.data.h5,776.6309967041016,956.3430023193359,102.58399963378906,254.58399963378906
461,2013-05-15 12:14:04,C1.6,-796.2888638293371,213.6908210807776,-815.7150268554688,178.86900329589844,179.71200561523438,152.0,Flare,HH_Flare+AR_180x152,eis_20130515_121404.data.h5,-905.5710296630859,-725.8590240478516,102.86900329589844,254.86900329589844
461,2013-05-16 19:25:05,C4.8,-639.6515181711875,196.978103656226,-682.4920043945312,237.34500122070312,179.71200561523438,152.0,Flare,HH_Flare+AR_180x152,eis_20130516_192505.data.h5,-772.3480072021484,-592.6360015869141,161.34500122070312,313.3450012207031
480,2013-05-25 01:01:00,C1.6,-247.53478218521923,-275.6426687516057,-254.4409942626953,-327.2569885253906,479.2319946289063,512.0,Active Region,HPW022_VEL_480x512v1,eis_20130525_010100.data.h5,-494.05699157714844,-14.824996948242159,-583.2569885253906,-71.25698852539062
455,2013-06-07 00:42:42,C1.0,765.7218389222279,-494.0388224235187,683.97900390625,-440.7369995117188,266.0,400.0,Active Region,FLARE266_TEST2,eis_20130607_004242.data.h5,550.97900390625,816.97900390625,-640.7369995117188,-240.7369995117188
455,2013-06-07 22:01:27,M5.9,808.9155736894029,-499.543689044984,716.114013671875,-440.4280090332031,266.0,400.0,Active Region,FLARE266_TEST2,eis_20130607_220127.data.h5,583.114013671875,849.114013671875,-640.4280090332031,-240.42800903320312
455,2013-06-08 19:17:35,C1.7,843.7970656228624,-467.82269835366594,785.2589721679688,-533.3469848632812,266.0,400.0,Active Region,FLARE266_TEST2,eis_20130608_191735.data.h5,652.2589721679688,918.2589721679688,-733.3469848632812,-333.34698486328125
495,2013-06-17 07:47:16,C1.7,-379.9197907685302,-341.9258267522593,-382.31201171875,-390.1669921875,179.71200561523438,152.0,Flare,HH_Flare+AR_180x152H,eis_20130617_074716.data.h5,-472.1680145263672,-292.4560089111328,-466.1669921875,-314.1669921875
485,2013-07-07 03:13:21,C1.5,-193.4768798071891,-202.8695034751496,-185.22000122070312,-231.9830017089844,161.74099731445312,152.0,Flare,HH_Flare_162x152,eis_20130707_031321.data.h5,-266.0904998779297,-104.34950256347656,-307.9830017089844,-155.9830017089844
