study ID,eis filename time,GOES class,hpc x,hpc y,EIS xcen,EIS ycen,EIS fovx,EIS fovy,target,stud_acr,filename,EIS xmin,EIS xmax,EIS ymin,EIS ymax,Start Time_x,Peak Time_x,End Time_x,Start Time_y,Peak Time_y,End Time_y
404,2020-10-28 01:05:13,C1.1,461.8966961675679,-420.72374676283385,404.4200134277344,-421.1889953613281,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20201028_010513.data.h5,344.5160140991211,464.32401275634766,-501.1889953613281,-341.1889953613281,2020-10-28 02:00:00.000,2020-10-28 02:11:00.000,2020-10-28 02:16:00.000,2020-10-28 02:00:00.000,2020-10-28 02:11:00.000,2020-10-28 02:16:00.000
404,2020-11-01 00:20:13,B1.9,910.2608093337376,-359.9663066270532,858.0089721679688,-293.1969909667969,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20201101_002013.data.h5,798.1049728393555,917.912971496582,-373.1969909667969,-213.19699096679688,2020-11-01 00:45:00.000,2020-11-01 00:54:00.000,2020-11-01 01:00:00.000,2020-11-01 00:45:00.000,2020-11-01 00:54:00.000,2020-11-01 01:00:00.000
404,2020-11-05 22:28:13,C1.0,-669.2938252079766,-387.2756478407688,-647.0009765625,-427.0669860839844,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20201105_222813.data.h5,-706.9049758911133,-587.0969772338867,-507.0669860839844,-347.0669860839844,2020-11-05 22:18:00.000,2020-11-05 22:23:00.000,2020-11-05 22:33:00.000,2020-11-05 22:18:00.000,2020-11-05 22:23:00.000,2020-11-05 22:33:00.000
404,2020-11-15 21:48:10,B2.1,903.6479593755683,-376.4458722723877,860.1300048828125,-348.3559875488281,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20201115_214810.data.h5,800.2260055541992,920.0340042114258,-428.3559875488281,-268.3559875488281,2020-11-15 22:28:00.000,2020-11-15 22:37:00.000,2020-11-15 22:43:00.000,2020-11-15 22:28:00.000,2020-11-15 22:37:00.000,2020-11-15 22:43:00.000
404,2020-11-19 20:52:40,B2.0,507.1157892393472,-569.3427228619698,471.5799865722656,-539.0070190429688,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20201119_205240.data.h5,411.67598724365234,531.4839859008789,-619.0070190429688,-459.0070190429687,2020-11-19 20:38:00.000,2020-11-19 21:06:00.000,2020-11-19 21:19:00.000,2020-11-19 20:38:00.000,2020-11-19 21:06:00.000,2020-11-19 21:19:00.000
404,2020-11-25 02:43:10,C3.4,-855.2207666558679,-299.0352147307295,-878.3930053710938,-322.33599853515625,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20201125_024310.data.h5,-938.297004699707,-818.4890060424805,-402.33599853515625,-242.33599853515625,2020-11-25 03:47:00.000,2020-11-25 04:02:00.000,2020-11-25 04:21:00.000,2020-11-25 03:47:00.000,2020-11-25 04:02:00.000,2020-11-25 04:21:00.000
404,2021-08-24 12:48:00,B3.2,-594.0183147827629,201.50931912646885,-636.7269897460938,222.0529937744141,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20210824_124800.data.h5,-696.630989074707,-576.8229904174805,142.0529937744141,302.05299377441406,2021-08-24 13:35:00.000,2021-08-24 13:45:00.000,2021-08-24 13:49:00.000,2021-08-24 13:35:00.000,2021-08-24 13:45:00.000,2021-08-24 13:49:00.000
404,2021-11-16 11:53:05,B1.4,675.5602219050927,404.8977630654673,656.7490234375,335.7590026855469,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20211116_115305.data.h5,596.8450241088867,716.6530227661133,255.75900268554688,415.7590026855469,2021-11-16 12:07:00.000,2021-11-16 12:18:00.000,2021-11-16 12:23:00.000,2021-11-16 12:07:00.000,2021-11-16 12:18:00.000,2021-11-16 12:23:00.000
404,2018-06-17 14:33:11,B1.2,-133.58955811918713,57.9553930114615,-173.95199584960938,4.486040115356445,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20180617_143311.data.h5,-233.85599517822263,-114.0479965209961,-75.51395988464355,84.48604011535645,2018-06-17 13:12:00.000,2018-06-17 14:29:00.000,2018-06-17 15:02:00.000,2018-06-17 13:12:00.000,2018-06-17 14:29:00.000,2018-06-17 15:02:00.000
403,2016-02-13 10:44:42,B8.5,419.5625554141818,335.5755937163832,401.1369934082031,292.1910095214844,119.80799865722656,160.0,Quiet Sun,Atlas_30,eis_20160213_104442.data.h5,341.23299407958984,461.0409927368164,212.1910095214844,372.1910095214844,2016-02-13 10:58:00.000,2016-02-13 11:01:00.000,2016-02-13 11:06:00.000,2016-02-13 10:58:00.000,2016-02-13 11:01:00.000,2016-02-13 11:06:00.000
403,2016-02-29 04:03:37,B6.9,53.90784390937903,-32.523403233387654,66.00389862060547,-10.387700080871582,119.80799865722656,160.0,Quiet Sun,Atlas_30,eis_20160229_040337.data.h5,6.0998992919921875,125.90789794921876,-90.38770008087158,69.61229991912842,2016-02-29 04:19:00.000,2016-02-29 04:30:00.000,2016-02-29 04:41:00.000,2016-02-29 04:19:00.000,2016-02-29 04:30:00.000,2016-02-29 04:41:00.000
404,2016-04-19 18:47:20,B4.3,893.3819101734259,248.33083568811028,911.7449951171876,191.50799560546875,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20160419_184720.data.h5,851.8409957885743,971.6489944458008,111.50799560546876,271.50799560546875,2016-04-19 19:26:00.000,2016-04-19 19:34:00.000,2016-04-19 19:42:00.000,2016-04-19 19:26:00.000,2016-04-19 19:34:00.000,2016-04-19 19:42:00.000
404,2016-04-20 07:32:13,B4.7,914.9702884846104,242.28024319305,951.9310302734376,211.50799560546875,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20160420_073213.data.h5,892.0270309448243,1011.8350296020508,131.50799560546875,291.50799560546875,2016-04-20 07:31:00.000,2016-04-20 07:41:00.000,2016-04-20 07:46:00.000,2016-04-20 07:31:00.000,2016-04-20 07:41:00.000,2016-04-20 07:46:00.000
404,2016-05-13 04:55:28,B3.1,576.7729596706444,190.83022127236976,611.3519897460938,189.677001953125,119.80799865722656,160.0,Quiet Sun,Atlas_60,eis_20160513_045528.data.h5,551.4479904174805,671.255989074707,109.677001953125,269.677001953125,2016-05-13 05:08:00.000,2016-05-13 05:09:00.000,2016-05-13 05:11:00.000,2016-05-13 05:08:00.000,2016-05-13 05:09:00.000,2016-05-13 05:11:00.000
