Start Time,Peak Time,End Time,GOES Class,hpc_x,hpc_y
2017-01-04 02:34:00.000,2017-01-04 02:39:00.000,2017-01-04 02:50:00.000,B1.8,0.0,57.9131508
2017-01-05 18:20:00.000,2017-01-05 18:31:00.000,2017-01-05 18:39:00.000,B1.4,0.0,61.10778
2017-01-10 10:25:00.000,2017-01-10 10:30:00.000,2017-01-10 10:33:00.000,B7.3,0.0,69.808548
2017-01-10 12:56:00.000,2017-01-10 13:00:00.000,2017-01-10 13:04:00.000,B8.8,0.0,69.998424
2017-01-10 15:10:00.000,2017-01-10 15:13:00.000,2017-01-10 15:17:00.000,B3.9,926.39922,278.770932
2017-01-10 15:21:00.000,2017-01-10 15:25:00.000,2017-01-10 15:31:00.000,B4.1,0.0,70.180524
2017-01-10 16:36:00.000,2017-01-10 16:46:00.000,2017-01-10 16:49:00.000,B6.6,921.61146,295.01379
2017-01-10 18:03:00.000,2017-01-10 18:08:00.000,2017-01-10 18:13:00.000,B5.4,918.99288,296.203962
2017-01-10 21:07:00.000,2017-01-10 21:12:00.000,2017-01-10 21:15:00.000,B1.2,0.0,70.614108
2017-01-10 22:36:00.000,2017-01-10 22:47:00.000,2017-01-10 22:54:00.000,B2.5,0.0,70.72542
2017-01-11 01:53:00.000,2017-01-11 01:58:00.000,2017-01-11 02:01:00.000,B3.2,0.0,70.971492
2017-01-11 14:52:00.000,2017-01-11 15:00:00.000,2017-01-11 15:40:00.000,B2.3,0.0,71.940276
2017-01-11 15:51:00.000,2017-01-11 15:54:00.000,2017-01-11 15:56:00.000,B2.4,0.0,72.013368
2017-01-11 16:04:00.000,2017-01-11 16:07:00.000,2017-01-11 16:10:00.000,B4.0,0.0,72.029466
2017-01-11 19:23:00.000,2017-01-11 19:35:00.000,2017-01-11 20:01:00.000,B2.4,0.0,72.275688
2017-01-11 21:35:00.000,2017-01-11 21:43:00.000,2017-01-11 21:53:00.000,B5.0,0.0,72.438756
2017-01-12 06:56:00.000,2017-01-12 07:05:00.000,2017-01-12 07:12:00.000,B3.4,0.0,73.129578
2017-01-12 15:54:00.000,2017-01-12 16:18:00.000,2017-01-12 16:41:00.000,C3.8,0.0,73.788666
2017-01-14 07:08:00.000,2017-01-14 07:16:00.000,2017-01-14 07:20:00.000,B2.1,0.0,76.632474
2017-01-16 01:41:00.000,2017-01-16 01:44:00.000,2017-01-16 01:48:00.000,B1.3,0.0,79.64094
2017-01-16 18:12:00.000,2017-01-16 18:23:00.000,2017-01-16 18:35:00.000,B1.4,0.0,80.786874
2017-01-18 18:33:00.000,2017-01-18 18:36:00.000,2017-01-18 18:39:00.000,B1.3,0.0,84.06903
2017-01-20 06:33:00.000,2017-01-20 06:36:00.000,2017-01-20 06:37:00.000,B1.0,0.0,86.440854
2017-01-20 06:42:00.000,2017-01-20 06:43:00.000,2017-01-20 06:44:00.000,B1.4,-835.51086,243.150978
2017-01-20 06:47:00.000,2017-01-20 07:15:00.000,2017-01-20 07:19:00.000,B1.7,-835.51056,243.153372
2017-01-20 07:51:00.000,2017-01-20 08:36:00.000,2017-01-20 08:44:00.000,B2.7,-835.50702,243.184008
