Start Time,Peak Time,End Time,GOES Class,hpc_x,hpc_y
2017-09-10 02:40:00,2017-09-10 03:09:00.000,2017-09-10 03:25:00.000,C9.0,909.69822,-148.177824
2017-09-10 09:02:00,2017-09-10 09:20:00.000,2017-09-10 09:34:00.000,C2.9,935.88048,-160.263372
2017-09-10 14:19:00,2017-09-10 14:23:00.000,2017-09-10 14:25:00.000,C1.6,0.0,-120.676104
2017-09-10 15:23:00,2017-09-10 15:26:00.000,2017-09-10 15:28:00.000,C1.0,0.0,-120.674172
2017-09-10 15:35:00,2017-09-10 16:06:00.000,2017-09-10 16:31:00.000,X8.2,0.0,-120.6738
