Start Time,Peak Time,End Time,GOES Class,hpc_x,hpc_y
2022-12-31 23:47:00.000,2022-12-31 23:55:00.000,2023-01-01 00:03:00.000,C1.6,0.0,50.6800758
2023-01-01 00:31:00.000,2023-01-01 00:35:00.000,2023-01-01 00:41:00.000,C1.6,0.0,50.7413994
2023-01-01 02:04:00.000,2023-01-01 02:28:00.000,2023-01-01 02:41:00.000,C3.7,0.0,50.8709646
2023-01-01 06:56:00.000,2023-01-01 07:02:00.000,2023-01-01 07:06:00.000,C1.7,0.0,51.277326
2023-01-01 07:35:00.000,2023-01-01 07:44:00.000,2023-01-01 07:50:00.000,C1.9,0.0,51.3315486
2023-01-01 14:16:00.000,2023-01-01 14:30:00.000,2023-01-01 14:35:00.000,C1.7,0.0,51.888366
2023-01-01 17:43:00.000,2023-01-01 17:52:00.000,2023-01-01 18:09:00.000,C1.8,0.0,52.1752938
2023-01-01 19:31:00.000,2023-01-01 19:35:00.000,2023-01-01 19:43:00.000,C1.1,0.0,52.324857
2023-01-01 22:09:00.000,2023-01-01 22:16:00.000,2023-01-01 22:26:00.000,C1.1,0.0,52.5434916
2023-01-01 22:52:00.000,2023-01-01 23:16:00.000,2023-01-01 23:26:00.000,C3.1,0.0,52.6029582
2023-01-02 05:22:00.000,2023-01-02 05:29:00.000,2023-01-02 05:37:00.000,C1.6,0.0,53.1416124
2023-01-02 06:09:00.000,2023-01-02 06:21:00.000,2023-01-02 06:26:00.000,C9.4,0.0,53.2064424
2023-01-02 09:44:00.000,2023-01-02 09:56:00.000,2023-01-02 10:07:00.000,C2.8,-553.434672,374.31276
2023-01-02 11:30:00.000,2023-01-02 11:39:00.000,2023-01-02 11:41:00.000,C2.3,0.0,53.648727
2023-01-02 11:41:00.000,2023-01-02 11:52:00.000,2023-01-02 12:08:00.000,C3.0,0.0,53.6638674
2023-01-02 16:02:00.000,2023-01-02 16:08:00.000,2023-01-02 16:14:00.000,C1.1,0.0,54.0228234
2023-01-02 21:37:00.000,2023-01-02 21:43:00.000,2023-01-02 21:47:00.000,C1.8,0.0,54.4827108
2023-01-02 22:10:00.000,2023-01-02 22:16:00.000,2023-01-02 22:20:00.000,C2.0,0.0,54.5279616
