Start Time,Peak Time,End Time,GOES Class,hpc_x,hpc_y
2019-01-02 01:44:00.000,2019-01-02 01:50:00.000,2019-01-02 01:55:00.000,B2.8,345.674622,218.450472
2019-01-02 18:32:00.000,2019-01-02 18:38:00.000,2019-01-02 18:44:00.000,B1.2,0.0,54.289905
2019-01-03 16:40:00.000,2019-01-03 17:14:00.000,2019-01-03 17:33:00.000,B1.9,0.0,56.1058188
2019-01-04 11:04:00.000,2019-01-04 11:35:00.000,2019-01-04 11:46:00.000,B4.2,0.0,57.6038574
2019-01-06 01:56:00.000,2019-01-06 02:01:00.000,2019-01-06 02:09:00.000,B3.1,0.0,60.732186
2019-01-06 03:35:00.000,2019-01-06 03:41:00.000,2019-01-06 03:47:00.000,B1.3,0.0,60.863874
2019-01-06 04:23:00.000,2019-01-06 04:52:00.000,2019-01-06 05:14:00.000,B2.1,0.0,60.927696
2019-01-06 05:32:00.000,2019-01-06 05:51:00.000,2019-01-06 06:01:00.000,B8.6,0.0,61.019394
2019-01-06 08:35:00.000,2019-01-06 08:40:00.000,2019-01-06 08:48:00.000,B1.4,0.0,61.262376
2019-01-06 10:31:00.000,2019-01-06 10:51:00.000,2019-01-06 11:00:00.000,C1.6,0.0,61.416234
2019-01-06 13:33:00.000,2019-01-06 13:37:00.000,2019-01-06 13:39:00.000,B1.6,0.0,61.657374
2019-01-07 10:19:00.000,2019-01-07 10:23:00.000,2019-01-07 10:26:00.000,B1.1,0.0,63.299646
2019-01-12 19:05:00.000,2019-01-12 19:06:00.000,2019-01-12 19:07:00.000,A1.1,0.0,73.124316
2019-01-16 00:32:00.000,2019-01-16 00:34:00.000,2019-01-16 00:35:00.000,A8.8,0.0,78.708264
2019-01-19 22:00:00.000,2019-01-19 22:01:00.000,2019-01-19 22:02:00.000,A1.1,0.0,85.087104
2019-01-23 21:45:00.000,2019-01-23 21:49:00.000,2019-01-23 21:52:00.000,B1.2,0.0,91.182588
2019-01-24 18:55:00.000,2019-01-24 18:58:00.000,2019-01-24 19:00:00.000,B1.0,0.0,92.467032
2019-01-24 22:18:00.000,2019-01-24 22:22:00.000,2019-01-24 22:27:00.000,B1.2,0.0,92.670168
2019-01-25 01:06:00.000,2019-01-25 01:11:00.000,2019-01-25 01:16:00.000,B1.7,0.0,92.837832
2019-01-25 02:07:00.000,2019-01-25 02:24:00.000,2019-01-25 02:27:00.000,B1.4,0.0,92.898606
2019-01-25 04:05:00.000,2019-01-25 04:11:00.000,2019-01-25 04:23:00.000,B6.9,0.0,93.016014
2019-01-25 08:29:00.000,2019-01-25 08:35:00.000,2019-01-25 08:41:00.000,B2.3,0.0,93.27795
2019-01-25 16:03:00.000,2019-01-25 16:11:00.000,2019-01-25 16:22:00.000,B2.3,0.0,93.726012
2019-01-25 21:13:00.000,2019-01-25 21:27:00.000,2019-01-25 21:35:00.000,B4.6,0.0,94.030212
2019-01-26 03:34:00.000,2019-01-26 03:49:00.000,2019-01-26 03:54:00.000,B1.5,0.0,94.402134
2019-01-26 06:36:00.000,2019-01-26 06:47:00.000,2019-01-26 06:51:00.000,B2.2,0.0,94.579038
2019-01-26 07:52:00.000,2019-01-26 08:01:00.000,2019-01-26 08:07:00.000,B1.2,0.0,94.652766
2019-01-26 08:10:00.000,2019-01-26 08:13:00.000,2019-01-26 08:17:00.000,B1.3,0.0,94.670214
2019-01-26 13:12:00.000,2019-01-26 13:22:00.000,2019-01-26 13:34:00.000,C5.0,0.0,94.962246
2019-01-26 15:51:00.000,2019-01-26 15:55:00.000,2019-01-26 15:58:00.000,B2.9,0.0,95.115456
2019-01-26 16:14:00.000,2019-01-26 16:28:00.000,2019-01-26 16:35:00.000,B8.6,411.096774,187.462182
2019-01-26 18:49:00.000,2019-01-26 19:13:00.000,2019-01-26 19:20:00.000,B1.9,0.0,95.286522
2019-01-26 23:41:00.000,2019-01-26 23:44:00.000,2019-01-26 23:48:00.000,B1.1,0.0,95.566116
2019-01-28 01:00:00.000,2019-01-28 01:04:00.000,2019-01-28 01:08:00.000,B1.1,746.4048,129.88989
2019-01-28 17:32:00.000,2019-01-28 17:37:00.000,2019-01-28 19:16:00.000,B1.2,0.0,97.917276
2019-01-28 19:48:00.000,2019-01-28 19:53:00.000,2019-01-28 19:58:00.000,B1.9,0.0,98.041878
2019-01-29 05:03:00.000,2019-01-29 05:07:00.000,2019-01-29 05:23:00.000,B2.4,896.67012,89.132838
2019-01-29 06:36:00.000,2019-01-29 06:41:00.000,2019-01-29 06:45:00.000,B2.6,0.0,98.631648
2019-01-29 07:20:00.000,2019-01-29 07:36:00.000,2019-01-29 07:42:00.000,B8.4,0.0,98.671458
2019-01-29 10:21:00.000,2019-01-29 10:34:00.000,2019-01-29 10:40:00.000,C1.9,0.0,98.834916
2019-01-29 15:03:00.000,2019-01-29 15:22:00.000,2019-01-29 15:36:00.000,B3.5,0.0,99.088566
2019-01-29 21:18:00.000,2019-01-29 21:29:00.000,2019-01-29 21:48:00.000,C2.0,0.0,99.42396
2019-01-30 02:09:00.000,2019-01-30 02:14:00.000,2019-01-30 02:20:00.000,B1.7,0.0,99.682722
2019-01-30 04:33:00.000,2019-01-30 04:36:00.000,2019-01-30 04:40:00.000,B1.6,0.0,99.810276
2019-01-30 05:13:00.000,2019-01-30 05:27:00.000,2019-01-30 05:35:00.000,B3.6,0.0,99.845652
2019-01-30 05:56:00.000,2019-01-30 06:11:00.000,2019-01-30 06:19:00.000,C5.2,0.0,99.883656
2019-01-30 07:41:00.000,2019-01-30 07:44:00.000,2019-01-30 07:46:00.000,B3.2,0.0,99.976326
2019-01-30 08:28:00.000,2019-01-30 08:34:00.000,2019-01-30 08:43:00.000,B2.3,0.0,100.01775
2019-01-30 10:31:00.000,2019-01-30 10:38:00.000,2019-01-30 10:43:00.000,B8.5,0.0,100.125996
2019-01-30 11:16:00.000,2019-01-30 11:24:00.000,2019-01-30 11:32:00.000,C1.3,0.0,100.165536
2019-01-30 14:10:00.000,2019-01-30 14:15:00.000,2019-01-30 14:18:00.000,B1.7,0.0,100.31814
2019-01-30 15:22:00.000,2019-01-30 15:26:00.000,2019-01-30 15:29:00.000,B1.1,0.0,100.381146
2019-01-30 17:00:00.000,2019-01-30 17:05:00.000,2019-01-30 17:07:00.000,B9.7,0.0,100.466778
2019-01-30 19:20:00.000,2019-01-30 19:28:00.000,2019-01-30 20:00:00.000,B4.1,0.0,100.588842
2019-01-30 20:27:00.000,2019-01-30 20:34:00.000,2019-01-30 20:40:00.000,B5.3,0.0,100.64715
2019-01-30 22:28:00.000,2019-01-30 22:32:00.000,2019-01-30 22:35:00.000,B2.5,0.0,100.75227
