Start Time,Peak Time,End Time,GOES Class,hpc_x,hpc_y
2020-01-03 21:02:00.000,2020-01-03 21:03:00.000,2020-01-03 21:04:00.000,A1.0,0.0,55.9617654
2020-01-10 11:52:00.000,2020-01-10 11:59:00.000,2020-01-11 01:24:00.000,B1.1,0.0,68.519082
2020-01-10 14:41:00.000,2020-01-10 14:45:00.000,2020-01-10 14:51:00.000,B1.1,0.0,68.733462
2020-01-16 01:48:00.000,2020-01-16 01:51:00.000,2020-01-16 01:52:00.000,A7.8,0.0,78.355188
2020-01-19 18:33:00.000,2020-01-19 18:35:00.000,2020-01-19 18:41:00.000,B1.0,-453.496986,432.81444
2020-01-24 19:47:00.000,2020-01-24 19:51:00.000,2020-01-24 19:53:00.000,B1.3,0.0,92.143638
2020-01-25 07:11:00.000,2020-01-25 07:14:00.000,2020-01-25 07:18:00.000,B1.1,0.0,92.829534
2020-01-31 14:47:00.000,2020-01-31 15:03:00.000,2020-01-31 15:23:00.000,A9.6,0.0,101.283396
2020-02-07 04:20:00.000,2020-02-07 04:21:00.000,2020-02-07 04:22:00.000,A1.1,0.0,108.673902
2020-02-20 05:30:00.000,2020-02-20 05:31:00.000,2020-02-20 05:32:00.000,A1.1,0.0,118.795578
2020-02-26 18:57:00.000,2020-02-26 19:03:00.000,2020-02-26 19:05:00.000,A9.5,0.0,121.489164
2020-03-04 13:33:00.000,2020-03-04 13:34:00.000,2020-03-04 13:35:00.000,A8.1,0.0,122.558052
2020-03-11 05:49:00.000,2020-03-11 05:56:00.000,2020-03-11 06:00:00.000,B2.3,0.0,121.911546
2020-03-17 16:59:00.000,2020-03-17 17:01:00.000,2020-03-17 17:02:00.000,A9.0,0.0,119.708256
2020-03-23 14:33:00.000,2020-03-23 14:36:00.000,2020-03-23 14:37:00.000,A2.6,0.0,116.393166
2020-03-30 18:17:00.000,2020-03-30 18:18:00.000,2020-03-30 18:19:00.000,A1.1,0.0,110.785926
2020-04-04 00:43:00.000,2020-04-04 00:52:00.000,2020-04-04 00:56:00.000,B4.2,0.0,106.657896
2020-04-04 01:30:00.000,2020-04-04 01:38:00.000,2020-04-04 01:42:00.000,B1.4,0.0,106.624164
2020-04-06 05:35:00.000,2020-04-06 05:48:00.000,2020-04-06 05:58:00.000,B2.5,205.451904,538.177434
2020-04-06 08:22:00.000,2020-04-06 08:31:00.000,2020-04-06 08:38:00.000,B1.8,0.0,104.181558
