Start Time,Peak Time,End Time,GOES Class,hpc_x,hpc_y
2024-01-06 19:27:00.000,2024-01-06 19:36:00.000,2024-01-06 19:40:00.000,C4.5,0.0,61.57719
2024-01-06 20:02:00.000,2024-01-06 20:06:00.000,2024-01-06 20:12:00.000,C2.6,0.0,61.623522
2024-01-07 01:52:00.000,2024-01-07 02:22:00.000,2024-01-07 02:24:00.000,C2.3,0.0,62.086254
2024-01-07 02:24:00.000,2024-01-07 02:29:00.000,2024-01-07 02:37:00.000,C2.3,0.0,62.1285
2024-01-07 04:11:00.000,2024-01-07 04:18:00.000,2024-01-07 04:24:00.000,C1.6,-761.69382,-301.079118
2024-01-07 05:17:00.000,2024-01-07 05:29:00.000,2024-01-07 05:41:00.000,C2.7,119.241372,112.977276
2024-01-07 05:57:00.000,2024-01-07 06:05:00.000,2024-01-07 06:25:00.000,C2.4,85.277754,113.258664
2024-01-07 06:27:00.000,2024-01-07 06:36:00.000,2024-01-07 06:44:00.000,C3.1,0.0,62.449002
2024-01-07 07:31:00.000,2024-01-07 07:48:00.000,2024-01-07 07:52:00.000,C5.6,0.0,62.53332
2024-01-07 07:52:00.000,2024-01-07 07:56:00.000,2024-01-07 08:00:00.000,C6.3,169.713996,129.657126
2024-01-07 08:26:00.000,2024-01-07 08:33:00.000,2024-01-07 08:42:00.000,C3.2,169.478964,146.626488
2024-01-07 09:58:00.000,2024-01-07 10:05:00.000,2024-01-07 10:09:00.000,C2.2,0.0,62.726832
2024-01-07 10:09:00.000,2024-01-07 10:16:00.000,2024-01-07 10:30:00.000,C3.0,0.0,62.741304
2024-01-07 10:44:00.000,2024-01-07 10:51:00.000,2024-01-07 10:56:00.000,C2.9,0.0,62.787348
2024-01-07 13:29:00.000,2024-01-07 13:42:00.000,2024-01-07 13:55:00.000,C4.2,0.0,63.00423
2024-01-07 15:16:00.000,2024-01-07 15:20:00.000,2024-01-07 15:30:00.000,C1.7,0.0,63.144738
