Start Time,Peak Time,End Time,GOES Class,hpc_x,hpc_y
2011-01-01 00:17:00.000,2011-01-01 00:22:00.000,2011-01-01 00:30:00.000,B2.3,0.0,50.87712
2011-01-01 00:49:00.000,2011-01-01 00:53:00.000,2011-01-01 00:57:00.000,B2.2,0.0,50.9217
2011-01-01 00:49:00.000,2011-01-01 00:53:00.000,2011-01-01 00:57:00.000,B2.2,0.0,50.9217
2011-01-01 18:11:00.000,2011-01-01 18:14:00.000,2011-01-01 18:20:00.000,B2.1,0.0,52.3686
2011-01-01 18:11:00.000,2011-01-01 18:14:00.000,2011-01-01 18:20:00.000,B2.1,0.0,52.3686
2011-01-01 19:37:00.000,2011-01-01 19:44:00.000,2011-01-01 19:51:00.000,B3.1,0.0,52.48758
2011-01-01 21:52:00.000,2011-01-01 21:59:00.000,2011-01-01 22:06:00.000,B8.3,-701.688,513.3984
2011-01-02 09:03:00.000,2011-01-02 09:10:00.000,2011-01-02 09:22:00.000,B4.6,0.0,53.60028
2011-01-02 16:01:00.000,2011-01-02 16:07:00.000,2011-01-02 16:10:00.000,B3.0,0.0,54.1752
2011-01-02 16:01:00.000,2011-01-02 16:07:00.000,2011-01-02 16:10:00.000,B3.0,0.0,54.1752
2011-01-02 19:06:00.000,2011-01-02 19:15:00.000,2011-01-02 19:24:00.000,B1.5,0.0,54.42918
2011-01-02 19:06:00.000,2011-01-02 19:15:00.000,2011-01-02 19:24:00.000,B1.5,0.0,54.42918
2011-01-02 20:09:00.000,2011-01-02 20:12:00.000,2011-01-02 20:16:00.000,B2.3,0.0,54.51564
2011-01-02 20:09:00.000,2011-01-02 20:12:00.000,2011-01-02 20:16:00.000,B2.3,0.0,54.51564
2011-01-03 04:36:00.000,2011-01-03 04:41:00.000,2011-01-03 04:46:00.000,B1.4,0.0,55.20996
2011-01-03 13:19:00.000,2011-01-03 13:25:00.000,2011-01-03 13:33:00.000,B2.6,0.0,55.9239
2011-01-03 13:44:00.000,2011-01-03 13:53:00.000,2011-01-03 14:11:00.000,B4.2,0.0,55.95798
2011-01-03 15:33:00.000,2011-01-03 15:41:00.000,2011-01-03 15:45:00.000,B3.3,0.0,56.10648
2011-01-03 22:01:00.000,2011-01-03 22:22:00.000,2011-01-03 22:31:00.000,B3.6,0.0,56.63418
2011-01-03 23:26:00.000,2011-01-03 23:35:00.000,2011-01-03 23:46:00.000,C1.1,-82.8546,-181.7772
2011-01-04 02:22:00.000,2011-01-04 02:25:00.000,2011-01-04 02:27:00.000,B2.9,0.0,56.98842
2011-01-04 03:19:00.000,2011-01-04 03:25:00.000,2011-01-04 03:27:00.000,C1.9,0.0,57.0657
2011-01-04 05:57:00.000,2011-01-04 06:02:00.000,2011-01-04 06:05:00.000,B9.4,0.0,57.27972
2011-01-04 07:56:00.000,2011-01-04 08:01:00.000,2011-01-04 08:08:00.000,B3.3,0.0,57.44082
2011-01-04 09:35:00.000,2011-01-04 09:39:00.000,2011-01-04 09:41:00.000,B3.6,0.0,57.57474
2011-01-04 09:43:00.000,2011-01-04 09:47:00.000,2011-01-04 09:49:00.000,B6.4,0.0,57.58554
2011-01-04 19:42:00.000,2011-01-04 19:45:00.000,2011-01-04 19:48:00.000,B1.9,0.0,58.39392
2011-01-04 23:39:00.000,2011-01-04 23:45:00.000,2011-01-04 23:51:00.000,B4.2,0.0,58.71282
2011-01-05 23:23:00.000,2011-01-05 23:27:00.000,2011-01-05 23:29:00.000,B4.0,0.0,60.618
2011-01-05 23:23:00.000,2011-01-05 23:27:00.000,2011-01-05 23:29:00.000,B4.0,0.0,60.618
2011-01-05 23:50:00.000,2011-01-05 23:58:00.000,2011-01-06 00:05:00.000,B1.8,0.0,60.654
2011-01-05 23:50:00.000,2011-01-05 23:58:00.000,2011-01-06 00:05:00.000,B1.8,0.0,60.654
2011-01-07 00:01:00.000,2011-01-07 00:06:00.000,2011-01-07 00:09:00.000,B1.2,0.0,62.5758
2011-01-07 00:01:00.000,2011-01-07 00:06:00.000,2011-01-07 00:09:00.000,B1.2,0.0,62.5758
2011-01-07 06:59:00.000,2011-01-07 07:05:00.000,2011-01-07 07:14:00.000,B1.7,0.0,63.1254
2011-01-07 06:59:00.000,2011-01-07 07:05:00.000,2011-01-07 07:14:00.000,B1.7,0.0,63.1254
2011-01-07 15:12:00.000,2011-01-07 15:20:00.000,2011-01-07 15:34:00.000,B5.1,0.0,63.7716
2011-01-08 09:18:00.000,2011-01-08 09:23:00.000,2011-01-08 09:27:00.000,B2.5,0.0,65.1864
