Start Time,Peak Time,End Time,GOES Class,hpc_x,hpc_y
2016-01-01 04:38:00.000,2016-01-01 04:41:00.000,2016-01-01 04:51:00.000,B6.2,0.0,50.679672
2016-01-01 06:33:00.000,2016-01-01 06:38:00.000,2016-01-01 06:43:00.000,C2.3,850.36176,-298.934892
2016-01-01 09:36:00.000,2016-01-01 09:48:00.000,2016-01-01 09:56:00.000,C2.4,867.83118,-318.030804
2016-01-01 17:30:00.000,2016-01-01 17:36:00.000,2016-01-01 17:43:00.000,B8.4,0.0,51.7531788
2016-01-01 20:18:00.000,2016-01-01 20:21:00.000,2016-01-01 20:23:00.000,B5.5,0.0,51.9861702
2016-01-01 22:25:00.000,2016-01-01 22:30:00.000,2016-01-01 22:33:00.000,C2.7,0.0,52.1621514
2016-01-01 23:10:00.000,2016-01-02 00:11:00.000,2016-01-02 01:01:00.000,M2.3,0.0,52.2244758
2016-01-03 20:20:00.000,2016-01-03 20:24:00.000,2016-01-03 20:27:00.000,B4.7,-617.5875,-144.432282
2016-01-04 06:17:00.000,2016-01-04 06:21:00.000,2016-01-04 06:24:00.000,B4.1,0.0,56.7589764
2016-01-05 16:32:00.000,2016-01-05 16:48:00.000,2016-01-05 16:59:00.000,B3.8,0.0,59.5291356
2016-01-05 23:33:00.000,2016-01-05 23:37:00.000,2016-01-05 23:38:00.000,B6.3,0.0,60.09192
2016-01-06 00:14:00.000,2016-01-06 00:25:00.000,2016-01-06 00:37:00.000,B4.4,0.0,60.14664
2016-01-06 03:27:00.000,2016-01-06 03:48:00.000,2016-01-06 04:03:00.000,B6.6,0.0,60.40401
2016-01-06 06:13:00.000,2016-01-06 06:16:00.000,2016-01-06 06:20:00.000,B5.6,0.0,60.625104
2016-01-06 09:20:00.000,2016-01-06 09:25:00.000,2016-01-06 09:28:00.000,B8.2,0.0,60.873852
2016-01-06 11:31:00.000,2016-01-06 11:37:00.000,2016-01-06 11:39:00.000,C1.8,0.0,61.047912
2016-01-06 14:44:00.000,2016-01-06 14:45:00.000,2016-01-06 14:46:00.000,B9.3,0.0,61.304064
