Start Time,Peak Time,End Time,GOES Class,hpc_x,hpc_y
2014-12-31 23:02:00.000,2014-12-31 23:39:00.000,2015-01-01 00:17:00.000,C1.2,0.0,50.72454
2015-01-01 04:57:00.000,2015-01-01 05:07:00.000,2015-01-01 05:17:00.000,C2.1,-743.772,-86.43
2015-01-01 07:22:00.000,2015-01-01 07:30:00.000,2015-01-01 07:38:00.000,C2.1,-734.274,-68.6226
2015-01-01 19:03:00.000,2015-01-01 19:05:00.000,2015-01-01 19:07:00.000,C1.8,-600.378,-44.10774
2015-01-02 04:33:00.000,2015-01-02 04:36:00.000,2015-01-02 04:38:00.000,B7.0,0.0,53.17992
2015-01-02 09:50:00.000,2015-01-02 09:53:00.000,2015-01-02 09:55:00.000,B9.3,-531.2532,-40.44912
2015-01-02 14:05:00.000,2015-01-02 14:08:00.000,2015-01-02 14:11:00.000,B9.7,0.0,53.96748
2015-01-02 14:12:00.000,2015-01-02 14:15:00.000,2015-01-02 14:17:00.000,C1.0,-443.5524,-20.26314
2015-01-02 19:35:00.000,2015-01-02 19:38:00.000,2015-01-02 19:39:00.000,C1.1,0.0,54.4206
2015-01-02 19:47:00.000,2015-01-02 19:48:00.000,2015-01-02 19:49:00.000,C1.2,0.0,54.43704
2015-01-03 01:13:00.000,2015-01-03 01:17:00.000,2015-01-03 01:21:00.000,C1.7,0.0,54.88368
2015-01-03 05:52:00.000,2015-01-03 05:57:00.000,2015-01-03 06:00:00.000,C1.1,-333.2148,-50.6022
2015-01-03 06:01:00.000,2015-01-03 06:04:00.000,2015-01-03 06:06:00.000,C2.9,0.0,55.27758
2015-01-03 06:13:00.000,2015-01-03 06:17:00.000,2015-01-03 06:20:00.000,C4.6,-333.2154,-50.57526
2015-01-03 06:43:00.000,2015-01-03 06:49:00.000,2015-01-03 06:53:00.000,C3.8,-333.2154,-50.53674
2015-01-03 07:05:00.000,2015-01-03 07:15:00.000,2015-01-03 07:28:00.000,C2.4,-365.556,-34.11786
2015-01-03 09:40:00.000,2015-01-03 09:47:00.000,2015-01-03 09:50:00.000,M1.1,-285.7404,-15.22272
2015-01-03 10:28:00.000,2015-01-03 10:39:00.000,2015-01-03 10:44:00.000,C1.7,0.0,55.64208
2015-01-03 13:37:00.000,2015-01-03 14:13:00.000,2015-01-03 14:26:00.000,C1.8,-269.022,-31.72968
